SEZIONE,UNIONE POPOLARE CON DE MAGISTRIS,ITALEXIT PER L'ITALIA,+EUROPA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ITALIA SOVRANA E POPOLARE,MOVIMENTO 5 STELLE,VITA,AZIONE - ITALIA VIVA - CALENDA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,MASTELLA NOI DI CENTRO EUROPEISTI,TOTALE,AFFLUENZA
1,3,7,7,5,0,58,4,28,3,18,16,36,13,2,0,206,0.677631579
2,8,8,28,29,1,204,14,66,6,23,43,72,17,6,1,565,0.70625
3,1,2,3,5,0,25,2,16,3,6,37,8,24,1,1,150,0.612244898
4,1,6,4,5,0,68,6,29,1,5,29,42,11,3,0,234,0.558472554
5,7,3,3,6,2,133,9,70,0,14,22,45,17,2,0,379,0.651202749
6,3,4,6,11,0,43,6,33,2,6,33,40,17,3,0,228,0.53271028
7,0,2,2,5,0,17,0,10,0,3,11,23,3,0,0,82,0.607407407
8,12,9,4,14,1,113,2,75,3,15,37,65,15,7,0,398,0.692173913
9,6,17,16,24,1,152,9,50,7,79,39,168,36,15,0,669,0.713219616
10,7,8,14,24,2,123,4,64,0,19,18,58,13,12,0,417,0.655660377
11,4,6,15,30,0,147,4,63,1,22,27,58,10,4,0,436,0.610644258
12,10,11,9,16,0,117,14,72,6,17,30,80,25,2,2,441,0.622002821
13,9,12,16,23,0,146,5,85,2,32,60,99,14,5,1,555,0.644599303
14,3,10,6,19,2,124,5,63,1,22,62,77,15,7,0,479,0.638666667
15,8,7,10,20,1,148,7,92,6,22,52,79,16,4,1,504,0.700973574
16,5,4,11,16,2,176,4,66,1,30,31,62,12,7,0,466,0.687315634
17,2,7,1,3,0,37,7,34,0,11,26,23,11,0,0,175,0.475543478
18,5,6,7,29,2,140,2,84,1,21,34,65,15,3,0,441,0.602459016
19,5,10,6,7,5,57,4,91,2,12,32,49,9,4,0,333,0.472340426
20,8,17,10,14,7,112,11,98,6,22,50,98,22,6,0,530,0.564430245
21,1,3,0,2,1,29,3,38,1,5,19,34,7,0,0,148,0.318965517
22,3,11,4,6,5,40,8,62,1,9,32,39,22,2,0,282,0.479591837
23,0,6,2,3,1,43,6,41,1,6,29,25,13,2,0,186,0.352272727
24,4,11,3,5,1,28,3,35,2,3,17,45,7,5,0,185,0.404814004
25,7,12,4,6,3,41,5,45,0,9,25,45,15,1,0,238,0.408233276
26,8,9,9,38,6,74,12,106,3,26,33,72,11,5,0,448,0.605405405
27,6,10,3,8,1,78,4,62,4,11,21,67,11,1,0,309,0.559782609
28,4,6,3,14,7,77,6,46,1,19,29,67,25,8,0,344,0.510385757
29,4,12,12,7,2,67,2,48,3,16,24,59,10,5,1,306,0.630927835
30,13,13,13,14,9,149,5,84,2,13,67,89,14,8,1,539,0.602908277
31,9,6,13,22,0,110,9,75,11,10,38,82,21,5,0,456,0.603174603
32,4,14,11,15,0,124,9,93,8,37,43,97,23,14,0,530,0.637019231
33,10,19,13,27,0,102,4,90,5,28,44,64,8,3,0,467,0.615283267
34,5,13,9,21,2,116,3,66,2,32,35,72,17,12,0,440,0.611961057
35,7,9,15,21,0,138,6,101,7,24,57,63,19,8,0,517,0.647869674
36,8,11,12,12,0,123,6,77,2,16,36,53,12,5,0,407,0.623277182
37,6,10,5,24,2,75,4,44,2,16,32,47,17,4,1,310,0.593869732
38,9,15,10,17,2,155,9,99,1,30,40,78,22,12,0,540,0.644391408
39,5,8,18,10,3,99,8,73,4,20,43,61,11,2,0,390,0.596330275
40,1,4,6,6,6,58,9,59,1,6,26,47,13,4,2,271,0.447933884
41,5,6,12,8,0,62,7,68,1,12,36,28,6,9,0,280,0.53030303
42,4,13,10,12,2,94,7,67,9,18,48,66,14,3,0,401,0.508883249
43,5,12,9,22,0,84,7,72,2,31,26,109,15,9,0,442,0.632331903
44,5,14,14,1,18,107,6,43,6,35,18,65,14,15,0,398,0.694589878
45,5,5,14,13,1,91,0,51,2,36,29,74,15,14,1,392,0.641571195
46,5,9,7,8,3,88,6,68,0,36,37,71,23,8,0,402,0.666666667
47,10,11,12,29,2,157,5,81,0,73,43,95,19,19,0,601,0.690011481
48,3,12,30,18,0,149,6,52,5,69,28,132,31,15,1,592,0.701421801
49,14,12,20,24,0,89,13,111,5,45,47,108,31,10,0,592,0.64208243
50,11,10,28,25,2,193,8,73,6,69,37,102,13,16,1,631,0.74498229
51,8,10,21,30,3,131,12,85,0,59,35,70,21,10,1,542,0.655380895
52,1,11,18,23,0,148,7,58,0,79,24,98,23,16,0,559,0.697007481
53,10,10,20,26,2,151,7,71,4,42,60,94,21,22,1,590,0.673515982
