SEZIONE,unione popolare,noi moderati,lega,fratelli d'italia,forza italia,italia sovrana e popolare,movimento 5 stelle,italexit,piu europa,alleanza sinistra verdi,partito democratico,impegno civico,azione italia viva,TOTALE,AFFLUENZA
1,4,10,4,90,37,1,73,5,7,22,58,4,35,350,0.5035971223021583
2,1,5,24,83,39,5,114,8,3,5,43,4,21,355,0.4528061224489796
3,4,7,13,77,40,4,113,7,2,9,38,5,12,331,0.4655414908579465
4,7,3,9,98,41,3,143,7,11,14,87,4,24,451,0.5486618004866181
5,1,5,18,101,55,7,179,4,4,17,67,3,27,488,0.5025746652935118
6,6,8,19,79,47,4,136,10,13,15,76,3,22,438,0.4965986394557823
7,2,3,25,96,37,3,111,4,6,13,72,0,14,386,0.4818976279650437
8,6,9,17,126,62,8,196,4,9,23,71,1,26,558,0.5269121813031161
9,1,0,14,118,47,6,167,11,9,21,91,3,40,528,0.5443298969072164
10,3,1,25,134,53,8,181,7,5,18,85,1,27,548,0.5179584120982986
11,9,4,27,127,57,4,150,4,5,19,97,2,26,531,0.5110683349374399
12,9,3,22,117,70,3,148,1,8,22,64,3,24,494,0.5005065856129686
13,4,1,12,142,51,2,275,4,12,30,101,2,41,677,0.5301487862176977
14,4,14,20,108,45,8,153,11,15,16,104,4,24,526,0.5307769929364279
15,5,7,12,99,36,5,140,3,12,25,63,3,14,424,0.5485122897800776
16,3,4,15,69,54,4,164,1,1,6,56,4,16,397,0.4465691788526434
17,2,6,29,134,49,2,166,4,9,28,87,8,19,543,0.5
18,2,3,25,88,64,0,105,8,1,6,43,1,27,373,0.4408983451536643
19,0,5,22,176,34,3,157,15,5,17,74,6,25,539,0.5746268656716418
20,10,0,32,136,69,8,204,6,6,16,97,4,24,612,0.5392070484581498
21,9,2,22,105,43,6,162,8,6,10,76,1,22,472,0.5552941176470588
22,4,1,13,109,44,11,126,5,9,11,62,1,14,410,0.5290322580645161
23,12,5,20,153,49,15,173,12,13,25,126,0,31,634,0.5640569395017794
24,4,3,18,201,74,4,193,19,10,12,102,8,49,697,0.5741350906095551
25,13,2,21,196,78,11,167,10,14,11,121,3,37,684,0.5841161400512382
26,6,6,14,202,60,9,189,9,6,31,100,7,18,657,0.5945701357466063
27,13,5,25,193,58,4,232,9,11,25,100,4,40,719,0.5770465489566613
28,8,7,21,150,66,14,203,12,9,15,135,2,39,681,0.5727502102607233
29,3,0,20,150,66,10,171,9,8,15,86,4,34,576,0.5932028836251287
30,2,5,16,139,92,7,141,7,8,12,68,1,29,527,0.5747001090512541
31,1,2,13,132,66,10,123,4,8,21,76,2,23,481,0.519438444924406
32,5,8,21,131,66,7,91,13,10,23,111,1,28,515,0.577354260089686
33,10,4,22,167,69,8,154,6,7,12,92,4,31,586,0.541089566020314
34,4,6,34,118,51,9,173,5,7,11,126,1,44,589,0.6232804232804233
35,3,11,16,204,81,5,195,15,22,23,131,4,40,750,0.5924170616113744
36,7,0,26,118,51,11,172,18,13,28,125,2,26,597,0.543221110100091
37,5,4,14,141,53,5,215,6,11,20,103,1,24,602,0.6086956521739131
38,6,6,11,88,24,4,104,7,3,26,117,1,17,414,0.5880681818181818
39,7,4,11,105,18,2,71,5,5,18,124,1,37,408,0.6257668711656442
40,8,5,5,76,26,3,99,16,5,16,77,6,18,360,0.5309734513274337
41,7,3,7,102,29,1,122,3,6,12,74,1,33,400,0.5747126436781609
42,3,7,7,78,22,6,94,5,9,15,105,2,26,379,0.6369747899159663
43,8,3,17,70,28,9,131,3,11,10,71,2,25,388,0.4936386768447837
44,3,4,15,87,31,6,124,6,6,15,94,5,28,424,0.5660881174899867
45,5,2,13,57,25,7,104,4,5,6,66,2,21,317,0.523102310231023
46,7,3,6,79,20,1,93,8,5,23,114,1,27,387,0.5944700460829493
47,3,1,9,66,30,2,136,4,3,13,72,1,10,350,0.423728813559322
48,10,5,7,62,22,2,112,5,5,9,48,5,19,311,0.4748091603053435
49,6,8,32,151,48,4,262,15,9,15,130,9,41,730,0.5210563882940756
50,10,0,25,119,27,9,141,6,10,24,139,6,38,554,0.6238738738738738
51,17,11,17,160,38,8,235,6,12,14,154,4,39,715,0.6142611683848798
52,4,3,20,131,32,3,207,8,4,21,90,0,26,549,0.5840425531914893
53,3,0,12,136,17,7,154,7,1,7,69,2,20,435,0.5317848410757946
54,14,11,30,52,213,7,234,11,11,35,117,3,44,782,0.5716374269005848
55,5,7,23,165,38,8,169,5,9,26,127,1,26,609,0.6163967611336032
56,3,7,27,95,27,3,171,5,3,11,121,6,36,515,0.617505995203837
57,10,12,14,79,27,8,126,8,7,16,130,6,41,484,0.6205128205128205
58,6,11,18,125,14,3,134,5,10,26,129,7,33,521,0.6424167694204685
59,2,5,25,128,45,5,79,5,11,19,144,2,40,510,0.6007067137809188
60,5,5,10,85,29,4,111,2,0,7,97,2,30,387,0.5944700460829493
61,3,7,13,123,33,5,112,3,8,14,114,2,28,465,0.5916030534351145
62,1,5,19,74,26,1,107,3,5,12,64,6,26,349,0.5453125
63,4,6,15,93,33,3,132,11,7,13,101,4,28,450,0.5913272010512484
64,0,5,14,94,27,1,105,2,3,8,61,1,15,336,0.4793152639087018
65,3,5,12,73,32,3,103,1,6,9,140,4,24,415,0.6259426847662142
66,2,0,14,82,26,4,92,5,7,6,75,3,29,345,0.5340557275541795
67,6,5,24,72,22,2,125,10,3,8,61,1,17,356,0.5114942528735632
68,4,7,11,148,41,8,155,9,14,17,107,4,32,557,0.5796045785639958
69,6,7,13,79,26,1,105,1,10,19,124,1,23,415,0.6014492753623188
70,6,8,22,110,52,5,137,3,2,18,82,2,13,460,0.5145413870246085
71,4,4,16,135,47,6,111,2,9,7,85,5,24,455,0.5334114888628371
72,5,5,15,70,19,3,143,5,2,7,68,1,21,364,0.4918918918918919
73,1,1,13,70,19,9,140,13,3,5,47,2,16,339,0.4767932489451477
74,8,0,13,89,22,2,137,5,4,14,70,5,20,389,0.510498687664042
75,10,5,21,107,41,8,116,4,3,11,66,4,22,418,0.5781466113416321
76,2,0,26,81,24,8,135,5,6,16,72,5,19,399,0.5458276333789329
77,4,4,12,105,39,1,122,7,11,10,72,4,21,412,0.5175879396984925
78,3,0,9,78,19,3,153,3,3,13,72,0,12,368,0.5013623978201635
79,9,1,25,87,27,9,128,15,4,10,55,3,19,392,0.4962025316455696
80,6,1,12,75,34,5,121,6,2,8,72,1,14,357,0.4817813765182186
81,4,5,15,108,31,3,106,2,4,13,57,3,15,366,0.5069252077562327
82,2,1,8,65,16,2,133,1,6,11,78,3,19,345,0.5164670658682635
83,4,3,16,133,29,1,109,2,2,15,87,2,24,427,0.5398230088495575
84,6,7,17,132,44,4,127,5,8,22,128,2,40,542,0.5564681724845996
85,5,8,18,102,35,4,158,7,10,18,111,3,22,501,0.5273684210526316
86,1,9,21,101,31,2,160,1,6,27,105,8,38,510,0.5172413793103449
87,2,0,6,35,18,1,94,1,3,1,38,3,9,211,0.3829401088929219
88,0,1,13,55,38,5,142,2,4,7,47,9,12,335,0.4490616621983914
89,1,9,11,99,20,4,182,4,3,14,88,4,16,455,0.5365566037735849
90,5,10,14,118,37,2,124,4,10,11,83,2,27,447,0.5045146726862303
91,6,2,24,85,40,3,160,9,4,14,63,2,23,435,0.5117647058823529
92,7,1,17,94,26,6,160,10,5,14,52,4,23,419,0.4906323185011709
93,1,1,29,81,28,5,150,11,2,9,44,4,11,376,0.5067385444743935
94,6,1,15,100,25,4,153,3,1,14,61,5,13,401,0.4411441144114411
95,5,4,14,46,12,6,105,1,4,8,54,1,11,271,0.4329073482428115
96,4,1,15,56,20,3,139,2,5,6,39,3,6,299,0.4564885496183206
97,5,1,19,71,30,2,79,7,6,7,45,1,15,288,0.488135593220339
98,12,2,15,120,33,2,192,8,3,10,68,4,14,483,0.4739941118743866
99,3,10,18,121,46,2,140,10,9,9,59,1,34,462,0.5038167938931297
100,6,8,17,81,30,7,113,4,7,13,76,4,18,384,0.4942084942084942
101,0,2,14,62,24,1,162,2,1,6,42,3,12,331,0.4578146611341632
102,6,0,18,62,31,4,132,5,1,5,31,8,9,312,0.3674911660777385
103,3,2,16,46,25,3,151,4,2,3,22,6,14,297,0.4361233480176211
104,3,3,16,62,27,3,132,2,2,11,56,6,23,346,0.4487678339818418
105,7,9,24,121,36,5,104,7,7,13,108,3,35,479,0.5980024968789014
106,5,1,9,94,31,3,102,6,10,24,98,2,23,408,0.5461847389558233
107,7,5,11,115,30,6,114,5,5,18,78,3,30,427,0.5538261997405967
108,7,1,16,80,30,6,120,6,5,5,63,2,24,365,0.4847277556440903
109,4,4,20,83,34,1,141,5,6,12,102,8,31,451,0.5672955974842767
110,8,4,17,95,27,4,119,5,20,13,71,1,22,406,0.5056039850560399
111,5,0,19,105,30,5,129,4,6,17,80,2,19,421,0.5275689223057645
112,11,2,25,107,33,5,124,11,5,23,81,8,18,453,0.5992063492063492
113,10,1,17,104,34,1,127,2,9,16,81,1,18,421,0.5735694822888283
114,4,6,20,89,24,5,108,6,6,21,67,12,20,388,0.5337001375515819
115,6,4,19,97,45,3,123,6,4,13,75,1,17,413,0.5370611183355006
116,6,2,5,79,21,3,117,6,10,6,81,4,27,367,0.5169014084507042
117,11,10,18,85,42,4,135,4,3,20,73,2,22,429,0.5349127182044888
118,7,4,20,87,34,5,160,5,6,17,70,1,35,451,0.5201845444059977
119,1,0,4,51,11,4,68,4,1,6,20,3,1,174,0.4741144414168937
120,6,4,13,70,38,7,102,3,4,13,79,2,21,362,0.4986225895316804
121,6,5,30,87,40,5,166,3,4,15,41,3,19,424,0.4976525821596244
122,11,9,6,106,33,4,102,10,10,11,134,2,36,474,0.5710843373493976
123,1,9,11,102,26,4,98,2,3,16,131,1,34,438,0.6058091286307054
124,9,13,4,127,34,8,101,5,15,14,99,2,33,464,0.6018158236057068
125,3,3,20,90,34,4,143,6,2,16,67,2,23,413,0.5208070617906684
126,3,2,15,88,34,2,117,4,13,22,66,1,30,397,0.5430916552667578
127,7,10,16,131,38,0,124,6,11,35,127,4,49,558,0.5911016949152542
128,2,12,20,127,41,0,97,7,11,23,105,2,40,487,0.5763313609467455
129,2,4,9,107,39,6,71,2,14,13,70,0,35,372,0.5858267716535434
130,1,3,9,77,18,1,74,6,6,15,62,1,19,292,0.5242369838420108
131,7,7,13,119,28,6,112,2,7,20,74,3,29,427,0.5980392156862745
132,0,8,10,133,60,3,85,5,13,24,92,2,56,491,0.6017156862745098
133,10,4,11,115,35,6,81,7,6,21,76,0,40,412,0.5988372093023255
134,7,13,17,139,45,3,77,7,11,17,98,4,50,488,0.5872442839951865
135,8,4,9,117,37,8,110,3,8,41,74,1,34,454,0.5873221216041398
136,5,9,12,129,40,6,109,8,9,19,70,3,40,459,0.5802781289506953
137,5,3,10,139,52,7,79,3,18,30,84,3,40,473,0.5875776397515527
138,5,8,26,89,33,0,107,4,7,11,64,0,27,381,0.4792452830188679
139,3,7,18,104,31,5,103,5,9,24,90,2,14,415,0.5136138613861386
140,8,8,12,91,32,6,123,10,3,14,53,2,20,382,0.4872448979591837
141,4,4,12,74,45,3,116,7,5,13,53,0,11,347,0.4894217207334274
142,2,3,12,70,34,2,109,7,6,12,47,1,8,313,0.4389901823281907
143,2,9,9,112,30,2,111,6,6,23,71,6,27,414,0.5307692307692308
144,1,1,7,42,25,1,109,2,5,10,29,4,10,246,0.416243654822335
145,4,2,5,93,24,7,103,4,3,16,51,1,24,337,0.491970802919708
146,4,0,7,50,28,2,101,4,6,8,41,2,8,261,0.4386554621848739
147,7,8,19,111,30,6,116,2,6,30,95,3,29,462,0.5885350318471337
