"";"";"";"Domenica";""
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23"
"BOLOGNA";"445 su 445";"21,57";"50,23";"58,69"
"SEZIONE 1";"";"19,39";"51,79";"63,27"
"SEZIONE 2";"";"20,83";"49,05";"56,28"
"SEZIONE 3";"";"25,47";"51,09";"57,34"
"SEZIONE 4";"";"24,76";"55,68";"63,09"
"SEZIONE 5";"";"24,54";"54,06";"66,24"
"SEZIONE 6";"";"22,88";"52,04";"61,29"
"SEZIONE 7";"";"24,01";"50,07";"61,71"
"SEZIONE 8";"";"20,34";"49,44";"59,70"
"SEZIONE 9";"";"16,55";"45,12";"54,53"
"SEZIONE 10";"";"22,62";"52,83";"62,52"
"SEZIONE 11";"";"19,02";"48,99";"60,85"
"SEZIONE 12";"";"19,54";"47,96";"55,95"
"SEZIONE 13";"";"21,28";"50,00";"58,51"
"SEZIONE 14";"";"25,84";"54,41";"62,76"
"SEZIONE 15";"";"24,88";"56,88";"71,72"
"SEZIONE 16";"";"22,91";"53,52";"62,52"
"SEZIONE 17";"";"25,93";"55,44";"63,04"
"SEZIONE 18";"";"26,63";"59,10";"66,71"
"SEZIONE 19";"";"22,70";"54,04";"62,40"
"SEZIONE 20";"";"20,85";"52,48";"64,72"
"SEZIONE 21";"";"22,06";"52,98";"62,64"
"SEZIONE 22";"";"26,39";"55,17";"63,53"
"SEZIONE 23";"";"23,01";"55,28";"71,20"
"SEZIONE 24";"";"25,00";"54,41";"65,64"
"SEZIONE 25";"";"23,25";"51,54";"61,46"
"SEZIONE 26";"";"20,59";"51,76";"62,06"
"SEZIONE 27";"";"24,56";"56,58";"67,67"
"SEZIONE 28";"";"24,76";"53,39";"63,35"
"SEZIONE 29";"";"21,33";"47,61";"56,66"
"SEZIONE 30";"";"21,48";"50,07";"57,60"
"SEZIONE 31";"";"17,42";"44,95";"57,98"
"SEZIONE 32";"";"27,43";"57,24";"65,54"
"SEZIONE 33";"";"20,50";"51,24";"58,71"
"SEZIONE 34";"";"24,34";"51,16";"57,21"
"SEZIONE 35";"";"23,98";"56,38";"66,06"
"SEZIONE 36";"";"20,69";"51,44";"59,20"
"SEZIONE 37";"";"20,55";"48,19";"58,32"
"SEZIONE 38";"";"19,77";"42,60";"50,64"
"SEZIONE 39";"";"19,30";"43,38";"51,69"
"SEZIONE 40";"";"19,81";"46,91";"59,43"
"SEZIONE 41";"";"23,52";"49,52";"60,52"
"SEZIONE 42";"";"21,53";"48,27";"57,66"
"SEZIONE 43";"";"25,21";"56,70";"66,52"
"SEZIONE 44";"";"19,28";"45,26";"54,59"
"SEZIONE 45";"";"10,94";"27,46";"32,20"
"SEZIONE 46";"";"21,05";"53,29";"60,69"
"SEZIONE 47";"";"20,12";"55,11";"66,25"
"SEZIONE 48";"";"28,07";"56,97";"64,87"
"SEZIONE 49";"";"21,76";"51,76";"60,41"
"SEZIONE 50";"";"21,27";"47,43";"56,78"
"SEZIONE 51";"";"19,81";"53,10";"61,05"
