"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"FIRENZE";"360 su 360";"20,47";"49,74";"57,65";"71,33"
"Sezione 1";"";"19,34";"43,71";"51,26";"71,76"
"Sezione 2";"";"16,28";"40,38";"50,32";"67,44"
"Sezione 3";"";"18,88";"45,80";"52,62";"70,63"
"Sezione 4";"";"16,21";"40,09";"47,61";"64,40"
"Sezione 5";"";"21,99";"50,09";"54,28";"69,81"
"Sezione 6";"";"20,12";"41,86";"48,37";"65,53"
"Sezione 7";"";"20,25";"49,21";"57,12";"71,36"
"Sezione 8";"";"23,80";"49,33";"54,51";"72,94"
"Sezione 9";"";"16,74";"45,31";"49,78";"60,71"
"Sezione 10";"";"20,36";"45,31";"50,70";"64,67"
"Sezione 11";"";"18,84";"40,11";"47,39";"64,18"
"Sezione 12";"";"17,41";"51,79";"58,48";"71,43"
"Sezione 13";"";"19,74";"44,00";"51,96";"64,45"
"Sezione 14";"";"16,67";"40,65";"50,54";"62,87"
"Sezione 15";"";"21,10";"46,38";"51,41";"66,13"
"Sezione 16";"";"16,01";"40,71";"47,43";"62,47"
"Sezione 17";"";"13,17";"42,41";"52,70";"65,75"
"Sezione 18";"";"17,74";"46,16";"53,33";"66,16"
"Sezione 19";"";"22,05";"51,41";"57,69";"72,18"
"Sezione 20";"";"20,52";"53,70";"58,80";"73,92"
"Sezione 21";"";"20,26";"48,69";"54,81";"71,14"
"Sezione 22";"";"23,81";"52,01";"56,96";"72,71"
"Sezione 23";"";"17,45";"43,12";"49,28";"64,89"
"Sezione 24";"";"16,96";"41,96";"49,11";"63,62"
"Sezione 25";"";"16,90";"42,35";"48,51";"63,82"
"Sezione 26";"";"15,14";"43,28";"48,40";"64,39"
"Sezione 27";"";"24,49";"51,78";"61,04";"74,11"
"Sezione 28";"";"22,98";"49,71";"57,23";"70,52"
"Sezione 29";"";"20,42";"48,65";"56,01";"71,47"
"Sezione 30";"";"18,89";"47,93";"54,53";"69,43"
"Sezione 31";"";"24,72";"53,95";"62,57";"75,56"
"Sezione 32";"";"18,74";"48,08";"55,91";"70,97"
"Sezione 33";"";"20,44";"47,27";"54,95";"68,62"
"Sezione 34";"";"22,09";"50,60";"58,37";"70,55"
"Sezione 35";"";"22,15";"52,31";"60,77";"73,38"
"Sezione 36";"";"22,66";"51,98";"62,12";"76,07"
"Sezione 37";"";"21,18";"52,01";"59,65";"73,31"
"Sezione 38";"";"23,98";"23,98";"59,11";"73,13"
"Sezione 39";"";"19,33";"49,60";"56,27";"69,73"
"Sezione 40";"";"19,24";"49,44";"57,38";"71,81"
"Sezione 41";"";"21,78";"51,84";"58,79";"74,41"
"Sezione 42";"";"21,75";"54,89";"64,82";"76,06"
"Sezione 43";"";"22,49";"49,57";"58,31";"68,34"
"Sezione 44";"";"22,73";"53,13";"62,22";"74,72"
"Sezione 45";"";"19,40";"43,45";"50,63";"65,99"
"Sezione 46";"";"18,27";"48,58";"55,75";"71,99"
"Sezione 47";"";"18,17";"44,31";"51,61";"64,86"
"Sezione 48";"";"22,22";"51,27";"58,73";"72,54"
"Sezione 49";"";"23,07";"52,66";"60,85";"74,36"
"Sezione 50";"";"21,30";"49,67";"56,99";"71,11"
"Sezione 51";"";"14,29";"39,39";"47,14";"62,04"
