"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"GENOVA";"653 su 653";"18,48";"43,02";"49,66";"63,31"
"SEZIONE 1";"";"25,91";"49,39";"56,68";"72,47"
"SEZIONE 2";"";"14,51";"42,48";"50,53";"67,94"
"SEZIONE 3";"";"13,71";"34,27";"40,32";"49,19"
"SEZIONE 4";"";"10,90";"29,86";"35,07";"52,61"
"SEZIONE 5";"";"15,50";"38,83";"45,51";"66,23"
"SEZIONE 6";"";"14,92";"31,00";"36,36";"55,94"
"SEZIONE 7";"";"17,19";"50,78";"53,91";"64,06"
"SEZIONE 8";"";"22,22";"48,82";"52,82";"66,85"
"SEZIONE 9";"";"21,20";"47,39";"55,98";"70,11"
"SEZIONE 10";"";"20,90";"49,17";"54,14";"65,56"
"SEZIONE 11";"";"18,16";"41,42";"46,95";"62,41"
"SEZIONE 12";"";"19,03";"43,78";"51,22";"63,66"
"SEZIONE 13";"";"25,12";"43,90";"49,53";"62,09"
"SEZIONE 14";"";"21,00";"44,09";"50,49";"62,73"
"SEZIONE 15";"";"23,40";"53,05";"60,17";"72,24"
"SEZIONE 16";"";"18,14";"48,58";"55,17";"66,42"
"SEZIONE 17";"";"12,17";"31,59";"34,20";"45,80"
"SEZIONE 18";"";"16,30";"38,02";"43,73";"60,58"
"SEZIONE 19";"";"11,42";"29,38";"33,68";"43,32"
"SEZIONE 20";"";"15,53";"37,02";"41,04";"52,01"
"SEZIONE 21";"";"8,14";"16,51";"19,53";"30,70"
"SEZIONE 22";"";"11,36";"31,68";"35,35";"44,51"
"SEZIONE 23";"";"6,81";"20,44";"23,52";"35,16"
"SEZIONE 24";"";"7,63";"21,63";"23,16";"33,84"
"SEZIONE 25";"";"9,75";"24,76";"27,10";"40,35"
"SEZIONE 26";"";"16,99";"34,55";"40,03";"53,23"
"SEZIONE 27";"";"17,10";"36,43";"39,96";"53,35"
"SEZIONE 28";"";"15,70";"35,85";"38,37";"48,59"
"SEZIONE 29";"";"18,91";"44,57";"50,65";"63,04"
"SEZIONE 30";"";"16,25";"41,02";"45,57";"59,77"
"SEZIONE 31";"";"20,62";"44,85";"48,33";"58,50"
"SEZIONE 32";"";"24,55";"48,00";"53,93";"67,59"
"SEZIONE 33";"";"14,55";"40,84";"47,97";"62,24"
"SEZIONE 34";"";"17,48";"39,16";"43,64";"58,04"
"SEZIONE 35";"";"18,03";"42,67";"47,73";"63,04"
"SEZIONE 36";"";"18,03";"38,15";"47,24";"61,25"
"SEZIONE 37";"";"17,46";"38,88";"44,91";"60,91"
"SEZIONE 38";"";"21,49";"46,82";"52,34";"64,71"
"SEZIONE 39";"";"16,96";"37,08";"42,47";"54,36"
"SEZIONE 40";"";"10,43";"23,83";"27,30";"40,52"
"SEZIONE 41";"";"11,60";"31,12";"36,10";"50,83"
"SEZIONE 42";"";"15,26";"31,18";"35,39";"46,97"
"SEZIONE 43";"";"14,41";"41,81";"49,15";"63,14"
"SEZIONE 44";"";"23,92";"46,30";"52,84";"66,61"
"SEZIONE 45";"";"14,26";"37,69";"49,07";"66,55"
"SEZIONE 46";"";"18,66";"46,39";"52,10";"68,24"
"SEZIONE 47";"";"16,09";"43,08";"52,19";"69,63"
"SEZIONE 48";"";"21,16";"47,76";"54,17";"69,17"
"SEZIONE 49";"";"19,52";"44,63";"51,21";"64,47"
"SEZIONE 50";"";"21,17";"51,79";"59,57";"75,36"
"SEZIONE 51";"";"17,48";"44,65";"51,07";"64,53"
"SEZIONE 52";"";"15,89";"44,93";"51,06";"69,46"
"SEZIONE 53";"";"19,84";"49,49";"55,69";"68,77"
"SEZIONE 54";"";"20,70";"48,53";"58,60";"70,36"
"SEZIONE 55";"";"20,56";"47,74";"56,68";"71,43"
"SEZIONE 56";"";"27,04";"57,13";"64,93";"76,36"
"SEZIONE 57";"";"26,05";"52,37";"62,37";"74,74"
"SEZIONE 58";"";"21,74";"45,58";"51,47";"66,90"
"SEZIONE 59";"";"22,68";"51,47";"58,64";"72,97"
"SEZIONE 60";"";"25,38";"48,01";"53,82";"66,51"
"SEZIONE 61";"";"20,87";"47,56";"55,56";"70,73"
"SEZIONE 62";"";"23,10";"48,52";"55,35";"69,16"
"SEZIONE 63";"";"21,86";"45,95";"51,70";"67,80"
"SEZIONE 64";"";"15,70";"36,63";"44,77";"63,95"
"SEZIONE 65";"";"15,00";"35,00";"38,64";"55,91"
"SEZIONE 66";"";"15,56";"38,44";"46,00";"62,00"
"SEZIONE 67";"";"24,40";"51,32";"57,78";"70,57"
"SEZIONE 68";"";"18,37";"43,52";"50,90";"67,02"
"SEZIONE 69";"";"20,87";"45,33";"54,21";"67,13"
"SEZIONE 70";"";"18,71";"42,09";"49,88";"64,15"
"SEZIONE 71";"";"18,39";"38,47";"45,60";"57,90"
"SEZIONE 72";"";"20,73";"44,68";"51,28";"62,18"
"SEZIONE 73";"";"17,33";"41,43";"49,20";"62,95"
"SEZIONE 74";"";"17,21";"47,91";"55,93";"67,67"
"SEZIONE 75";"";"18,84";"40,50";"47,60";"60,33"
"SEZIONE 76";"";"18,66";"41,44";"46,75";"60,96"
"SEZIONE 77";"";"21,33";"42,03";"46,58";"60,46"
"SEZIONE 78";"";"17,01";"40,10";"46,19";"57,11"
"SEZIONE 79";"";"17,42";"40,35";"46,62";"58,65"
"SEZIONE 80";"";"18,47";"41,11";"47,64";"60,83"
"SEZIONE 81";"";"18,60";"44,08";"49,43";"62,29"
"SEZIONE 82";"";"23,15";"50,55";"57,94";"72,24"
"SEZIONE 83";"";"23,38";"49,93";"57,91";"70,15"
"SEZIONE 84";"";"22,40";"50,30";"57,01";"69,58"
"SEZIONE 85";"";"21,88";"42,18";"48,78";"61,61"
"SEZIONE 86";"";"22,83";"44,94";"49,42";"64,16"
"SEZIONE 87";"";"22,00";"41,91";"48,73";"60,84"
"SEZIONE 88";"";"20,33";"42,62";"47,38";"60,16"
"SEZIONE 89";"";"17,51";"43,88";"51,05";"64,98"
"SEZIONE 90";"";"18,00";"38,35";"43,03";"54,38"
"SEZIONE 91";"";"15,61";"36,42";"44,80";"58,88"
"SEZIONE 92";"";"27,04";"48,29";"56,20";"69,30"
"SEZIONE 93";"";"18,78";"46,27";"54,70";"67,54"
"SEZIONE 94";"";"18,87";"43,38";"52,82";"67,28"
"SEZIONE 95";"";"15,89";"39,71";"46,03";"62,93"
"SEZIONE 96";"";"22,07";"47,35";"51,82";"63,27"
"SEZIONE 97";"";"17,96";"46,53";"52,11";"63,54"
"SEZIONE 98";"";"20,16";"47,13";"52,40";"63,26"
"SEZIONE 99";"";"18,85";"44,14";"51,95";"61,84"
"SEZIONE 100";"";"17,32";"36,26";"40,42";"52,66"
"SEZIONE 101";"";"18,65";"42,47";"51,94";"67,43"
"SEZIONE 102";"";"19,33";"45,74";"55,14";"68,26"
