"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"MILANO";"1.247 su 1.249";"17,09";"45,60";"53,79";"65,13"
"SEZIONE 1";"";"15,71";"42,61";"53,93";"68,04"
"SEZIONE 2";"";"9,15";"21,06";"24,47";"34,26"
"SEZIONE 3";"";"14,92";"42,48";"49,88";"59,07"
"SEZIONE 4";"";"16,99";"50,20";"59,74";"72,42"
"SEZIONE 5";"";"18,08";"42,79";"53,40";"65,51"
"SEZIONE 6";"";"20,14";"51,25";"57,81";"70,44"
"SEZIONE 7";"";"15,65";"42,46";"52,59";"68,58"
"SEZIONE 8";"";"18,04";"48,06";"56,39";"67,58"
"SEZIONE 9";"";"19,33";"45,53";"54,89";"68,40"
"SEZIONE 10 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 11";"";"13,09";"34,91";"40,92";"50,35"
"SEZIONE 12";"";"13,70";"36,90";"41,27";"49,55"
"SEZIONE 13";"";"16,73";"44,18";"54,89";"68,54"
"SEZIONE 14";"";"17,43";"49,52";"57,28";"67,69"
"SEZIONE 15";"";"19,45";"47,54";"55,60";"64,05"
"SEZIONE 16";"";"15,45";"41,10";"50,52";"64,66"
"SEZIONE 17 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 18";"";"19,02";"52,15";"58,99";"69,84"
"SEZIONE 19";"";"20,36";"49,68";"59,03";"69,40"
"SEZIONE 20";"";"18,84";"44,05";"51,98";"63,31"
"SEZIONE 21";"";"31,43";"48,57";"60,00";"68,57"
"SEZIONE 22";"";"19,12";"48,93";"57,77";"71,33"
"SEZIONE 23";"";"16,23";"47,26";"57,20";"67,85"
"SEZIONE 24";"";"18,03";"52,43";"62,79";"74,42"
"SEZIONE 25";"";"13,92";"33,90";"37,09";"45,06"
"SEZIONE 26";"";"18,15";"51,78";"61,57";"76,69"
"SEZIONE 27";"";"19,38";"44,88";"56,13";"69,38"
"SEZIONE 28";"";"13,93";"42,30";"52,95";"66,89"
"SEZIONE 29";"";"15,95";"48,41";"59,79";"71,64"
"SEZIONE 30";"";"15,76";"42,88";"50,30";"62,58"
"SEZIONE 31";"";"17,63";"46,66";"55,62";"69,15"
"SEZIONE 32";"";"15,82";"47,58";"58,77";"70,51"
"SEZIONE 33";"";"14,80";"37,52";"43,05";"51,72"
"SEZIONE 34 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 35";"";"17,33";"47,37";"61,23";"69,32"
"SEZIONE 36";"";"19,57";"47,93";"60,23";"74,28"
"SEZIONE 37";"";"16,63";"48,31";"59,00";"69,07"
"SEZIONE 38";"";"19,13";"52,50";"61,85";"72,86"
"SEZIONE 39";"";"18,76";"46,00";"56,63";"67,26"
"SEZIONE 40";"";"15,99";"47,62";"58,16";"69,73"
"SEZIONE 41";"";"16,64";"42,31";"55,71";"71,23"
"SEZIONE 42";"";"19,05";"50,20";"57,28";"68,44"
"SEZIONE 43";"";"16,06";"48,38";"56,86";"70,22"
"SEZIONE 44";"";"19,44";"49,31";"60,56";"73,33"
"SEZIONE 45 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 46";"";"15,84";"46,36";"54,80";"66,36"
"SEZIONE 47";"";"14,11";"41,27";"52,35";"69,04"
"SEZIONE 48";"";"13,48";"39,97";"49,76";"66,13"
"SEZIONE 49 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 50 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 51";"";"10,68";"29,98";"51,64";"65,20"
"SEZIONE 52";"";"17,36";"43,57";"51,91";"61,28"
"SEZIONE 53";"";"15,51";"47,54";"56,48";"66,24"
"SEZIONE 54 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 55";"";"18,98";"54,32";"63,18";"74,09"
"SEZIONE 56";"";"8,47";"27,15";"32,00";"42,22"
"SEZIONE 57";"";"19,46";"53,77";"62,26";"73,82"
"SEZIONE 58";"";"19,11";"43,07";"50,87";"65,28"
"SEZIONE 59";"";"14,70";"47,11";"54,15";"64,82"
"SEZIONE 61";"";"18,42";"54,96";"63,77";"72,36"
"SEZIONE 64";"";"15,18";"38,71";"44,02";"54,46"
"SEZIONE 65";"";"16,93";"45,56";"52,19";"67,70"
"SEZIONE 66";"";"18,37";"43,41";"46,57";"56,77"
"SEZIONE 69";"";"13,77";"37,17";"45,59";"62,43"
"SEZIONE 72";"";"14,29";"42,27";"48,90";"60,97"
"SEZIONE 73";"";"14,04";"43,33";"51,93";"61,75"
"SEZIONE 74";"";"14,68";"41,83";"48,07";"60,00"
"SEZIONE 78";"";"12,00";"37,33";"47,56";"61,48"
"SEZIONE 79";"";"15,33";"43,30";"53,45";"66,28"
"SEZIONE 80";"";"19,43";"44,96";"51,91";"63,12"
"SEZIONE 82";"";"13,96";"45,80";"56,31";"71,17"
"SEZIONE 83";"";"14,39";"44,51";"57,12";"71,07"
"SEZIONE 84";"";"22,43";"50,24";"55,77";"68,40"
"SEZIONE 86";"";"19,52";"48,03";"58,85";"59,13"
"SEZIONE 87";"";"16,14";"45,49";"53,39";"68,17"
"SEZIONE 88";"";"19,33";"48,73";"57,89";"69,42"
"SEZIONE 91";"";"13,99";"48,47";"61,20";"70,99"
"SEZIONE 92";"";"17,38";"46,87";"53,85";"62,54"
"SEZIONE 93";"";"15,60";"47,57";"57,96";"70,35"
"SEZIONE 94";"";"17,69";"46,52";"54,60";"69,08"
"SEZIONE 97";"";"21,94";"48,62";"51,91";"64,52"
"SEZIONE 99";"";"16,00";"45,62";"55,81";"70,14"
"SEZIONE 100";"";"16,46";"48,78";"55,98";"67,44"
"SEZIONE 104";"";"22,29";"47,61";"57,53";"71,41"
"SEZIONE 105";"";"16,98";"47,78";"53,97";"66,98"
"SEZIONE 106";"";"16,63";"48,29";"61,62";"74,03"
"SEZIONE 109";"";"17,54";"51,43";"60,38";"71,36"
"SEZIONE 110";"";"17,39";"47,96";"58,15";"74,22"
"SEZIONE 111";"";"22,14";"51,57";"61,51";"73,58"
"SEZIONE 112";"";"19,34";"51,44";"62,00";"74,35"
"SEZIONE 113";"";"17,23";"42,31";"49,02";"60,99"
"SEZIONE 114";"";"16,75";"47,85";"54,90";"67,82"
"SEZIONE 116";"";"18,43";"50,38";"60,06";"71,74"
"SEZIONE 117";"";"9,77";"50,53";"59,45";"71,11"
"SEZIONE 119";"";"16,04";"37,81";"45,66";"53,85"
"SEZIONE 120";"";"18,07";"48,81";"54,22";"65,96"
"SEZIONE 122";"";"16,81";"48,60";"56,72";"70,31"
"SEZIONE 123";"";"18,49";"47,56";"57,86";"69,48"
"SEZIONE 125";"";"18,94";"45,67";"53,46";"61,35"
"SEZIONE 126";"";"20,17";"49,38";"57,18";"70,17"
"SEZIONE 128";"";"16,25";"48,98";"57,23";"69,65"
"SEZIONE 129";"";"17,59";"49,36";"59,17";"72,07"
"SEZIONE 130";"";"17,82";"50,91";"58,42";"73,21"
"SEZIONE 131";"";"19,51";"49,61";"56,72";"69,90"
"SEZIONE 135";"";"17,31";"41,04";"49,10";"58,36"
"SEZIONE 138";"";"16,69";"42,54";"50,66";"60,12"
"SEZIONE 139";"";"15,20";"39,89";"50,34";"62,82"
"SEZIONE 140";"";"16,57";"47,33";"55,16";"67,20"
"SEZIONE 141";"";"19,67";"50,42";"57,21";"69,49"
"SEZIONE 142";"";"14,81";"45,92";"53,27";"67,39"
"SEZIONE 144";"";"13,77";"37,87";"42,07";"55,69"
"SEZIONE 146";"";"18,87";"51,04";"61,07";"72,19"
"SEZIONE 147";"";"17,67";"49,77";"60,12";"73,95"
