"";"";"";"Domenica";""
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23"
"NAPOLI";"883 su 883";"12,11";"30,99";"38,38"
"SEZIONE 1";"";"15,20";"44,23";"52,65"
"SEZIONE 2";"";"16,79";"41,43";"50,00"
"SEZIONE 3";"";"13,57";"42,63";"51,39"
"SEZIONE 4";"";"8,81";"26,89";"32,77"
"SEZIONE 5";"";"16,71";"43,68";"53,03"
"SEZIONE 6";"";"12,10";"30,57";"38,09"
"SEZIONE 7";"";"10,73";"32,60";"40,44"
"SEZIONE 8";"";"9,03";"21,20";"25,85"
"SEZIONE 9";"";"9,89";"25,05";"29,78"
"SEZIONE 10";"";"8,34";"22,54";"29,89"
"SEZIONE 11";"";"10,61";"22,87";"28,55"
"SEZIONE 12";"";"10,72";"24,42";"30,75"
"SEZIONE 13";"";"11,44";"31,25";"37,77"
"SEZIONE 14";"";"21,70";"44,76";"50,99"
"SEZIONE 15";"";"9,85";"27,76";"32,03"
"SEZIONE 16";"";"10,78";"29,94";"37,37"
"SEZIONE 17";"";"14,60";"35,95";"42,54"
"SEZIONE 18";"";"18,18";"44,57";"51,91"
"SEZIONE 19";"";"15,82";"44,84";"54,12"
"SEZIONE 20";"";"16,99";"46,36";"53,64"
"SEZIONE 21";"";"15,29";"49,39";"55,45"
"SEZIONE 22";"";"17,32";"50,66";"58,92"
"SEZIONE 23";"";"16,75";"46,54";"57,47"
"SEZIONE 24";"";"11,89";"35,38";"42,90"
"SEZIONE 25";"";"15,16";"34,45";"41,81"
"SEZIONE 26";"";"14,35";"41,61";"47,79"
"SEZIONE 27";"";"21,19";"49,84";"56,86"
"SEZIONE 28";"";"17,18";"45,77";"54,51"
"SEZIONE 29";"";"18,29";"45,72";"52,80"
"SEZIONE 30";"";"11,40";"32,63";"39,06"
"SEZIONE 31";"";"19,01";"43,73";"52,17"
"SEZIONE 32";"";"17,49";"45,57";"55,52"
"SEZIONE 33";"";"14,94";"37,53";"46,91"
"SEZIONE 34";"";"18,23";"43,32";"50,06"
"SEZIONE 35";"";"15,49";"42,20";"50,37"
"SEZIONE 36";"";"16,97";"44,40";"48,95"
"SEZIONE 37";"";"20,72";"44,92";"56,63"
"SEZIONE 38";"";"20,21";"46,46";"56,68"
"SEZIONE 39";"";"17,17";"49,53";"59,67"
"SEZIONE 40";"";"16,51";"42,40";"50,07"
"SEZIONE 41";"";"19,11";"46,84";"55,70"
"SEZIONE 42";"";"11,59";"37,84";"46,25"
"SEZIONE 43";"";"14,59";"48,73";"57,65"
"SEZIONE 44";"";"15,51";"42,44";"50,99"
"SEZIONE 45";"";"13,10";"30,61";"35,83"
"SEZIONE 46";"";"17,30";"40,44";"47,26"
"SEZIONE 47";"";"14,81";"33,98";"40,66"
"SEZIONE 48";"";"16,60";"34,93";"44,49"
"SEZIONE 49";"";"9,77";"26,29";"34,63"
"SEZIONE 50";"";"16,67";"39,13";"49,76"
"SEZIONE 51";"";"15,33";"46,11";"57,38"
"SEZIONE 52";"";"17,37";"44,81";"52,11"
"SEZIONE 53";"";"17,14";"45,24";"55,24"
"SEZIONE 54";"";"15,13";"46,59";"55,64"
"SEZIONE 55";"";"16,47";"41,87";"50,59"
"SEZIONE 56";"";"19,39";"40,91";"50,53"
"SEZIONE 57";"";"16,36";"45,09";"50,21"
"SEZIONE 58";"";"15,39";"41,14";"47,35"
"SEZIONE 59";"";"18,62";"42,69";"52,13"
"SEZIONE 60";"";"13,68";"31,88";"39,55"
"SEZIONE 61";"";"10,87";"24,46";"30,16"
"SEZIONE 62";"";"8,94";"23,69";"29,65"
"SEZIONE 63";"";"11,09";"22,99";"28,94"
"SEZIONE 64";"";"7,59";"20,81";"25,34"
"SEZIONE 65";"";"8,61";"23,29";"29,14"
"SEZIONE 66";"";"4,45";"14,69";"18,10"
"SEZIONE 67";"";"8,80";"21,05";"28,06"
"SEZIONE 68";"";"9,16";"23,48";"29,42"
"SEZIONE 69";"";"9,53";"22,96";"28,82"
"SEZIONE 70";"";"7,24";"19,65";"26,02"
"SEZIONE 71";"";"10,57";"24,71";"31,26"
"SEZIONE 72";"";"8,41";"22,58";"28,34"
"SEZIONE 73";"";"6,92";"18,64";"24,85"
"SEZIONE 74";"";"7,57";"20,97";"28,54"
"SEZIONE 75";"";"14,49";"40,22";"42,75"
"SEZIONE 76";"";"12,50";"36,88";"44,25"
"SEZIONE 77";"";"9,77";"26,27";"32,74"
"SEZIONE 78";"";"18,42";"44,33";"52,63"
"SEZIONE 79";"";"8,65";"26,51";"30,98"
"SEZIONE 80";"";"13,23";"27,99";"29,77"
"SEZIONE 81";"";"20,91";"47,72";"57,79"
"SEZIONE 82";"";"12,29";"31,22";"37,02"
"SEZIONE 83";"";"8,80";"23,29";"29,71"
"SEZIONE 84";"";"12,52";"34,86";"39,59"
"SEZIONE 85";"";"11,41";"25,97";"30,79"
"SEZIONE 86";"";"13,26";"32,87";"40,60"
