"";"";"";"Domenica";""
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23"
"PALERMO";"600 su 600";"12,91";"33,51";"38,60"
"SEZIONE 1";"";"16,78";"35,20";"40,79"
"SEZIONE 2";"";"14,29";"37,27";"44,01"
"SEZIONE 3";"";"7,49";"24,28";"27,05"
"SEZIONE 4";"";"12,23";"30,57";"36,09"
"SEZIONE 5";"";"17,28";"38,58";"44,02"
"SEZIONE 6";"";"7,56";"29,97";"33,88"
"SEZIONE 7";"";"9,23";"27,03";"31,08"
"SEZIONE 8";"";"9,17";"27,18";"31,16"
"SEZIONE 9";"";"7,50";"29,20";"35,18"
"SEZIONE 10";"";"3,46";"13,60";"15,99"
"SEZIONE 11";"";"8,14";"28,77";"34,64"
"SEZIONE 12";"";"7,25";"15,28";"18,09"
"SEZIONE 13";"";"11,96";"35,70";"40,18"
"SEZIONE 14";"";"7,97";"23,16";"26,72"
"SEZIONE 15";"";"8,15";"24,14";"27,17"
"SEZIONE 16";"";"7,39";"19,17";"23,09"
"SEZIONE 17";"";"11,24";"40,28";"45,83"
"SEZIONE 18";"";"18,36";"47,86";"54,71"
"SEZIONE 19";"";"14,13";"34,50";"39,36"
"SEZIONE 20";"";"22,21";"48,22";"55,84"
"SEZIONE 21";"";"20,26";"50,49";"54,76"
"SEZIONE 22";"";"18,86";"49,35";"56,07"
"SEZIONE 23";"";"12,71";"33,49";"39,19"
"SEZIONE 24";"";"11,80";"35,68";"37,40"
"SEZIONE 25";"";"18,06";"43,70";"51,01"
"SEZIONE 26";"";"18,20";"43,81";"50,73"
"SEZIONE 27";"";"15,49";"39,84";"46,02"
"SEZIONE 28";"";"9,56";"28,10";"32,47"
"SEZIONE 29";"";"11,53";"30,93";"34,21"
"SEZIONE 30";"";"12,61";"35,78";"40,60"
"SEZIONE 31";"";"6,77";"21,50";"24,74"
"SEZIONE 32";"";"14,88";"41,55";"47,92"
"SEZIONE 33";"";"16,10";"45,05";"53,38"
"SEZIONE 34";"";"20,95";"46,68";"52,50"
"SEZIONE 35";"";"9,04";"30,51";"37,57"
"SEZIONE 36";"";"12,40";"35,11";"41,64"
"SEZIONE 37";"";"11,58";"30,96";"35,86"
"SEZIONE 38";"";"15,07";"39,07";"48,27"
"SEZIONE 39";"";"16,55";"40,71";"45,12"
"SEZIONE 40";"";"9,21";"29,49";"32,88"
"SEZIONE 41";"";"13,67";"33,11";"39,82"
"SEZIONE 42";"";"17,60";"43,63";"50,93"
"SEZIONE 43";"";"11,41";"31,69";"36,48"
"SEZIONE 44";"";"15,74";"45,40";"53,75"
"SEZIONE 45";"";"9,78";"30,50";"33,38"
"SEZIONE 46";"";"14,12";"35,54";"40,77"
"SEZIONE 47";"";"12,30";"27,95";"31,61"
"SEZIONE 48";"";"11,88";"37,26";"41,19"
"SEZIONE 49";"";"6,83";"25,93";"30,09"
"SEZIONE 50";"";"10,29";"30,97";"34,97"
"SEZIONE 51";"";"8,94";"29,04";"34,79"
"SEZIONE 52";"";"18,39";"44,44";"49,94"
"SEZIONE 53";"";"8,56";"19,10";"20,95"
"SEZIONE 54";"";"10,42";"29,66";"33,33"
"SEZIONE 55";"";"8,48";"25,30";"28,67"
"SEZIONE 56";"";"13,81";"39,35";"44,52"
"SEZIONE 57";"";"12,84";"30,17";"35,44"
"SEZIONE 58";"";"12,59";"32,05";"37,04"
"SEZIONE 59";"";"11,68";"26,14";"30,71"
"SEZIONE 60";"";"21,68";"54,06";"60,65"
"SEZIONE 61";"";"15,03";"41,27";"46,46"
"SEZIONE 62";"";"23,71";"47,77";"55,28"
"SEZIONE 63";"";"6,85";"15,74";"20,30"
"SEZIONE 64";"";"15,17";"38,22";"44,64"
"SEZIONE 65";"";"18,52";"45,81";"51,81"
"SEZIONE 66";"";"15,26";"37,06";"42,42"
"SEZIONE 67";"";"9,23";"23,08";"28,21"
"SEZIONE 68";"";"23,54";"52,59";"60,07"
"SEZIONE 69";"";"8,89";"22,67";"25,00"
"SEZIONE 70";"";"15,62";"39,76";"44,62"
"SEZIONE 71";"";"9,24";"25,90";"28,77"
"SEZIONE 72";"";"6,92";"19,25";"23,46"
"SEZIONE 73";"";"8,96";"22,39";"24,69"
"SEZIONE 74";"";"7,05";"26,97";"30,54"
"SEZIONE 75";"";"5,91";"16,40";"18,15"
"SEZIONE 76";"";"10,96";"26,07";"30,33"
"SEZIONE 77";"";"18,18";"44,28";"52,19"
"SEZIONE 78";"";"9,37";"25,79";"29,68"
"SEZIONE 79";"";"10,27";"29,04";"33,44"
"SEZIONE 80";"";"12,24";"31,22";"36,10"
"SEZIONE 81";"";"17,51";"39,61";"47,10"
"SEZIONE 82";"";"9,92";"22,43";"25,62"
"SEZIONE 83";"";"9,57";"25,22";"29,83"
"SEZIONE 84";"";"12,80";"36,15";"36,89"
"SEZIONE 85";"";"8,58";"21,81";"26,35"
"SEZIONE 86";"";"11,23";"30,39";"37,31"
"SEZIONE 87";"";"17,62";"48,45";"56,09"
"SEZIONE 88";"";"19,12";"45,55";"52,19"
"SEZIONE 89";"";"11,86";"28,19";"35,33"
"SEZIONE 90";"";"16,43";"42,20";"46,45"
"SEZIONE 91";"";"12,75";"35,64";"42,46"
"SEZIONE 92";"";"18,50";"46,96";"54,46"
"SEZIONE 93";"";"16,93";"43,17";"50,62"
"SEZIONE 94";"";"22,82";"54,62";"58,33"
"SEZIONE 95";"";"5,09";"15,99";"21,51"
"SEZIONE 96";"";"19,87";"48,24";"56,21"
"SEZIONE 97";"";"19,72";"46,84";"56,86"
"SEZIONE 98";"";"8,73";"20,67";"23,58"
"SEZIONE 99";"";"13,83";"36,60";"42,05"
"SEZIONE 100";"";"14,69";"39,98";"45,86"
"SEZIONE 101";"";"10,01";"28,68";"33,16"
"SEZIONE 102";"";"15,72";"37,48";"43,02"
"SEZIONE 103";"";"8,07";"24,31";"28,58"
"SEZIONE 104";"";"15,63";"36,02";"42,74"
"SEZIONE 105";"";"10,15";"28,59";"34,00"
"SEZIONE 106";"";"18,55";"42,74";"47,47"
"SEZIONE 107";"";"11,72";"34,19";"38,60"
"SEZIONE 108";"";"12,94";"33,06";"36,00"
"SEZIONE 109";"";"19,68";"49,34";"54,63"
"SEZIONE 110";"";"15,99";"32,47";"35,67"
"SEZIONE 111";"";"7,07";"20,65";"22,42"
"SEZIONE 112";"";"9,77";"25,19";"28,01"
"SEZIONE 113";"";"12,06";"31,52";"36,07"
"SEZIONE 114";"";"12,00";"19,29";"22,24"
"SEZIONE 115";"";"6,20";"18,76";"21,86"
"SEZIONE 116";"";"17,12";"41,50";"51,68"
"SEZIONE 117";"";"15,64";"46,31";"54,19"
"SEZIONE 118";"";"19,95";"41,39";"51,08"
"SEZIONE 119";"";"17,24";"40,17";"46,44"
"SEZIONE 120";"";"11,37";"32,56";"37,53"
"SEZIONE 121";"";"12,72";"32,37";"38,31"
"SEZIONE 122";"";"18,40";"39,47";"48,96"
"SEZIONE 123";"";"11,57";"32,78";"38,43"
"SEZIONE 124";"";"13,46";"28,65";"33,03"
"SEZIONE 125";"";"12,64";"31,61";"37,04"
"SEZIONE 126";"";"10,90";"30,40";"35,01"
"SEZIONE 127";"";"10,38";"27,06";"30,70"
"SEZIONE 128";"";"21,09";"45,15";"53,14"
"SEZIONE 129";"";"6,81";"22,87";"28,05"
"SEZIONE 130";"";"10,11";"28,44";"31,61"
"SEZIONE 131";"";"11,85";"35,69";"40,61"
"SEZIONE 132";"";"16,49";"37,06";"41,23"
"SEZIONE 133";"";"13,48";"35,15";"40,30"
"SEZIONE 134";"";"11,25";"30,23";"33,46"
"SEZIONE 135";"";"7,45";"23,66";"27,71"
"SEZIONE 136";"";"4,27";"13,05";"15,82"
"SEZIONE 137";"";"19,09";"50,99";"58,56"
"SEZIONE 138";"";"7,78";"21,22";"28,27"
"SEZIONE 139";"";"10,93";"28,76";"31,86"
"SEZIONE 140";"";"11,65";"24,36";"29,03"
"SEZIONE 141";"";"17,07";"49,03";"56,66"
"SEZIONE 142";"";"18,81";"47,18";"54,73"
"SEZIONE 143";"";"15,70";"53,84";"60,12"
"SEZIONE 144";"";"16,74";"40,89";"48,62"
"SEZIONE 145";"";"21,28";"48,94";"54,61"
"SEZIONE 146";"";"13,76";"40,80";"45,44"
"SEZIONE 147";"";"19,37";"46,47";"53,08"
"SEZIONE 148";"";"20,41";"48,47";"56,44"
"SEZIONE 149";"";"27,81";"50,06";"57,57"
"SEZIONE 150";"";"13,27";"31,31";"37,37"
"SEZIONE 151";"";"17,02";"36,63";"41,64"
"SEZIONE 152";"";"12,10";"34,90";"37,83"
