"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"REGGIO DI CALABRIA";"196 su 196";"11,54";"33,56";"40,69";"53,56"
"SEZIONE 1";"";"15,56";"42,65";"52,45";"65,13"
"SEZIONE 2";"";"11,00";"36,19";"47,43";"61,12"
"SEZIONE 3";"";"14,53";"32,61";"38,56";"49,54"
"SEZIONE 4";"";"16,84";"41,95";"49,92";"63,46"
"SEZIONE 5";"";"13,48";"31,74";"37,25";"50,29"
"SEZIONE 6";"";"14,45";"41,37";"48,11";"61,71"
"SEZIONE 7";"";"16,64";"37,36";"44,43";"55,57"
"SEZIONE 8";"";"14,60";"33,33";"41,60";"52,34"
"SEZIONE 9";"";"8,01";"36,39";"41,19";"55,17"
"SEZIONE 10";"";"12,41";"31,62";"37,22";"51,44"
"SEZIONE 11";"";"10,25";"30,28";"37,58";"48,14"
"SEZIONE 12";"";"21,77";"43,54";"50,80";"63,13"
"SEZIONE 13";"";"15,29";"40,34";"48,22";"62,43"
"SEZIONE 14";"";"12,65";"34,28";"39,93";"52,41"
"SEZIONE 15";"";"13,38";"37,25";"43,88";"57,88"
"SEZIONE 16";"";"9,41";"31,68";"36,64";"46,95"
"SEZIONE 17";"";"14,93";"42,41";"49,25";"60,95"
"SEZIONE 18";"";"14,27";"31,99";"39,91";"55,48"
"SEZIONE 19";"";"11,11";"32,37";"39,73";"52,42"
"SEZIONE 20 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 21 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 22";"";"14,02";"34,69";"40,77";"57,20"
"SEZIONE 23";"";"17,55";"41,43";"47,96";"60,00"
"SEZIONE 24";"";"19,68";"44,61";"54,66";"61,81"
"SEZIONE 25";"";"15,67";"39,38";"48,87";"62,47"
"SEZIONE 26";"";"16,37";"45,36";"54,24";"70,02"
"SEZIONE 27";"";"16,52";"38,74";"47,37";"59,65"
"SEZIONE 28";"";"15,81";"39,85";"47,30";"58,61"
"SEZIONE 29";"";"13,74";"34,35";"40,65";"54,20"
"SEZIONE 30";"";"11,51";"33,02";"40,19";"53,02"
"SEZIONE 31";"";"15,28";"34,92";"40,25";"53,48"
"SEZIONE 32";"";"11,90";"30,25";"36,36";"47,60"
"SEZIONE 33";"";"11,58";"31,98";"37,05";"52,53"
"SEZIONE 34";"";"14,84";"44,52";"51,73";"65,56"
"SEZIONE 35";"";"11,96";"37,19";"43,10";"57,03"
"SEZIONE 36";"";"11,10";"41,31";"47,99";"62,03"
"SEZIONE 37";"";"12,97";"37,53";"46,01";"57,98"
"SEZIONE 38";"";"8,76";"27,62";"33,20";"46,75"
"SEZIONE 39";"";"12,74";"37,70";"45,27";"59,14"
"SEZIONE 40";"";"13,51";"55,14";"61,35";"73,92"
"SEZIONE 41";"";"14,02";"36,23";"43,91";"54,76"
"SEZIONE 42";"";"9,35";"31,36";"38,21";"50,46"
"SEZIONE 43";"";"16,34";"37,08";"45,34";"54,48"
"SEZIONE 44";"";"13,92";"35,58";"43,88";"60,76"
"SEZIONE 45";"";"12,22";"27,44";"32,90";"44,99"
"SEZIONE 46";"";"18,22";"39,21";"43,56";"55,84"
"SEZIONE 47";"";"14,63";"37,46";"45,52";"55,22"
"SEZIONE 48";"";"11,27";"32,85";"39,76";"51,52"
"SEZIONE 49";"";"10,80";"37,70";"43,89";"54,69"
"SEZIONE 50";"";"14,83";"32,33";"40,54";"54,57"
"SEZIONE 51";"";"11,77";"29,19";"39,47";"54,89"
"SEZIONE 52";"";"11,37";"33,56";"40,36";"53,73"
"SEZIONE 53";"";"11,03";"40,21";"49,58";"63,94"
"SEZIONE 54";"";"10,47";"34,29";"37,78";"48,41"
"SEZIONE 55";"";"10,55";"33,48";"39,83";"54,36"
"SEZIONE 56";"";"11,96";"36,93";"44,78";"57,80"
"SEZIONE 57";"";"8,78";"32,48";"39,53";"53,63"
"SEZIONE 58";"";"12,14";"34,79";"40,11";"52,80"
"SEZIONE 59";"";"8,83";"30,76";"39,91";"57,73"
"SEZIONE 60";"";"9,19";"32,22";"39,55";"52,60"
"SEZIONE 61";"";"12,54";"37,46";"44,26";"58,61"
"SEZIONE 62";"";"11,26";"32,09";"41,10";"53,49"
"SEZIONE 63";"";"8,62";"23,92";"32,33";"45,69"
"SEZIONE 64";"";"5,20";"18,91";"26,24";"37,35"
"SEZIONE 65";"";"12,01";"31,52";"39,21";"52,16"
"SEZIONE 66";"";"11,55";"31,49";"35,76";"50,47"
"SEZIONE 67";"";"10,96";"36,07";"44,06";"56,85"
"SEZIONE 68";"";"10,64";"39,07";"45,48";"55,98"
"SEZIONE 69";"";"10,50";"31,07";"37,72";"50,00"
"SEZIONE 70";"";"7,76";"27,91";"34,29";"48,31"
"SEZIONE 71";"";"10,60";"35,74";"46,22";"59,41"
"SEZIONE 72";"";"13,40";"37,72";"43,89";"55,75"
"SEZIONE 73";"";"8,49";"31,00";"37,15";"52,28"
"SEZIONE 74";"";"9,24";"28,85";"34,55";"48,46"
"SEZIONE 75";"";"8,57";"32,35";"39,00";"52,81"
"SEZIONE 76";"";"10,32";"37,25";"44,84";"56,30"
"SEZIONE 77";"";"8,64";"31,09";"38,51";"51,47"
"SEZIONE 78";"";"12,41";"29,71";"35,01";"48,54"
"SEZIONE 79";"";"11,01";"36,81";"43,69";"54,93"
"SEZIONE 80";"";"10,28";"33,53";"41,82";"53,97"
"SEZIONE 81";"";"9,57";"35,81";"42,90";"57,10"
"SEZIONE 82";"";"8,98";"27,82";"32,92";"46,13"
"SEZIONE 83";"";"12,88";"35,98";"42,05";"53,60"
"SEZIONE 84";"";"9,86";"33,28";"41,60";"57,78"
"SEZIONE 85";"";"6,67";"24,39";"32,11";"46,67"
"SEZIONE 86";"";"5,43";"26,51";"29,23";"35,28"
"SEZIONE 87";"";"9,62";"34,78";"41,99";"52,72"
"SEZIONE 88";"";"6,40";"30,53";"36,01";"48,81"
"SEZIONE 89";"";"6,71";"26,83";"40,85";"48,78"
"SEZIONE 90";"";"4,01";"23,50";"27,22";"36,39"
"SEZIONE 91";"";"5,24";"28,27";"39,27";"49,21"
"SEZIONE 92";"";"11,63";"28,68";"36,43";"48,06"
"SEZIONE 93";"";"7,30";"25,00";"32,30";"45,07"
"SEZIONE 94";"";"10,40";"34,04";"40,81";"53,74"
"SEZIONE 95";"";"14,93";"34,33";"44,78";"50,75"
"SEZIONE 96";"";"9,31";"30,05";"40,16";"58,24"
"SEZIONE 97";"";"2,94";"29,83";"37,39";"52,94"
"SEZIONE 98";"";"6,52";"27,05";"39,39";"54,23"
"SEZIONE 99";"";"6,03";"32,33";"43,97";"56,32"
"SEZIONE 100";"";"11,35";"33,54";"39,48";"54,06"
"SEZIONE 101";"";"12,44";"36,83";"42,68";"53,90"
"SEZIONE 102";"";"10,73";"30,30";"35,33";"48,37"
"SEZIONE 103";"";"8,02";"25,27";"30,74";"46,29"
"SEZIONE 104";"";"9,78";"28,59";"36,21";"48,41"
"SEZIONE 105";"";"7,72";"29,15";"36,29";"50,97"
"SEZIONE 106";"";"9,05";"30,07";"33,74";"47,68"
"SEZIONE 107";"";"9,14";"32,53";"38,98";"49,19"
"SEZIONE 108";"";"10,95";"34,39";"43,19";"55,37"
"SEZIONE 109";"";"10,80";"33,10";"43,10";"55,06"
"SEZIONE 110";"";"9,38";"26,90";"36,55";"55,30"
"SEZIONE 111";"";"9,67";"26,34";"32,59";"44,64"
"SEZIONE 112";"";"11,01";"33,04";"34,81";"53,29"
"SEZIONE 113";"";"10,87";"30,38";"39,24";"54,12"
"SEZIONE 114";"";"11,90";"29,17";"33,82";"45,57"
"SEZIONE 115";"";"9,18";"30,82";"37,05";"50,16"
"SEZIONE 116";"";"13,94";"33,94";"43,38";"55,76"
"SEZIONE 117";"";"12,83";"33,17";"41,16";"56,05"
"SEZIONE 118";"";"9,58";"32,93";"40,00";"52,10"
"SEZIONE 119";"";"9,31";"33,95";"40,85";"53,23"
"SEZIONE 120";"";"11,17";"32,77";"40,05";"52,31"
"SEZIONE 121";"";"14,06";"35,94";"41,80";"52,99"
"SEZIONE 122";"";"11,88";"44,54";"52,26";"64,61"
"SEZIONE 123";"";"14,46";"38,70";"46,23";"54,58"
"SEZIONE 124";"";"15,23";"38,68";"45,68";"62,00"
"SEZIONE 125";"";"8,44";"29,89";"40,09";"52,17"
"SEZIONE 126";"";"11,63";"31,01";"37,87";"50,72"
"SEZIONE 127";"";"12,24";"34,81";"41,45";"52,95"
"SEZIONE 128";"";"10,80";"31,24";"36,20";"48,91"
"SEZIONE 129";"";"12,37";"35,92";"41,73";"51,12"
"SEZIONE 130";"";"11,77";"33,59";"40,93";"56,05"
"SEZIONE 131";"";"10,87";"29,96";"38,33";"50,37"
"SEZIONE 132";"";"12,38";"40,21";"47,40";"59,65"
"SEZIONE 133";"";"9,92";"26,62";"33,38";"48,27"
"SEZIONE 134";"";"8,05";"28,38";"37,92";"48,57"
"SEZIONE 135";"";"12,82";"34,87";"41,43";"56,63"
"SEZIONE 136";"";"12,98";"32,82";"41,98";"55,22"
"SEZIONE 137";"";"8,32";"31,99";"38,41";"50,54"
"SEZIONE 138";"";"11,24";"29,86";"33,71";"45,91"
"SEZIONE 139";"";"16,04";"49,52";"49,79";"62,79"
"SEZIONE 140";"";"16,82";"43,40";"51,42";"64,47"
"SEZIONE 141";"";"11,89";"30,95";"35,98";"51,07"
"SEZIONE 142";"";"12,09";"33,72";"39,53";"51,28"
"SEZIONE 143";"";"10,72";"30,14";"37,02";"50,68"
"SEZIONE 144";"";"14,31";"34,15";"39,23";"51,08"
"SEZIONE 145";"";"12,05";"32,53";"38,40";"51,81"
"SEZIONE 146";"";"9,36";"23,49";"30,15";"39,09"
"SEZIONE 147 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 148 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 149";"";"7,93";"22,77";"28,50";"39,29"
"SEZIONE 150";"";"17,46";"44,03";"50,15";"62,84"
"SEZIONE 151";"";"11,79";"30,40";"37,72";"50,37"
"SEZIONE 152";"";"14,20";"36,11";"41,67";"56,02"
"SEZIONE 153";"";"8,10";"21,98";"26,61";"37,19"
"SEZIONE 154";"";"8,74";"29,94";"35,39";"46,42"
"SEZIONE 155";"";"13,18";"35,01";"42,51";"54,65"
"SEZIONE 156";"";"7,01";"20,52";"30,39";"40,00"
"SEZIONE 157";"";"16,11";"39,29";"49,51";"62,08"
"SEZIONE 158";"";"11,97";"34,31";"39,44";"51,77"
"SEZIONE 159";"";"9,86";"32,07";"38,95";"49,88"
"SEZIONE 160";"";"17,52";"37,02";"45,62";"55,37"
"SEZIONE 161";"";"12,09";"26,54";"33,89";"45,50"
"SEZIONE 162";"";"7,60";"31,18";"36,12";"50,00"
"SEZIONE 163";"";"10,19";"36,06";"44,37";"57,24"
"SEZIONE 164";"";"12,53";"37,22";"45,53";"60,67"
"SEZIONE 165";"";"6,40";"19,79";"25,89";"37,35"
"SEZIONE 166";"";"9,58";"33,82";"42,84";"58,29"
"SEZIONE 167";"";"13,42";"34,54";"43,10";"56,80"
"SEZIONE 168";"";"9,46";"35,33";"41,45";"57,02"
"SEZIONE 169";"";"10,21";"28,88";"37,96";"53,72"
"SEZIONE 170";"";"10,84";"32,65";"40,33";"52,40"
"SEZIONE 171";"";"11,35";"35,81";"44,59";"59,86"
"SEZIONE 172";"";"8,56";"26,01";"34,09";"44,26"
"SEZIONE 173";"";"10,98";"35,14";"42,23";"50,17"
"SEZIONE 174";"";"11,54";"30,97";"39,09";"53,94"
"SEZIONE 175";"";"6,35";"24,62";"30,71";"35,53"
"SEZIONE 176";"";"9,42";"28,39";"36,87";"50,65"
"SEZIONE 177";"";"14,22";"32,35";"40,85";"57,68"
"SEZIONE 178";"";"13,36";"34,52";"42,76";"53,23"
"SEZIONE 179";"";"2,65";"7,75";"10,78";"18,53"
"SEZIONE 180";"";"12,22";"31,49";"36,31";"51,35"
"SEZIONE 181";"";"11,11";"35,24";"43,65";"52,22"
"SEZIONE 182";"";"8,23";"32,10";"39,62";"53,46"
"SEZIONE 183";"";"11,96";"31,18";"39,52";"56,32"
"SEZIONE 184";"";"19,07";"28,61";"32,56";"41,28"
"SEZIONE 185";"";"15,00";"36,29";"42,29";"56,14"
"SEZIONE 186";"";"13,53";"36,58";"45,64";"58,61"
"SEZIONE 187";"";"13,20";"37,52";"46,05";"59,38"
"SEZIONE 188";"";"10,82";"34,47";"39,50";"55,97"
"SEZIONE 189";"";"13,27";"33,27";"40,35";"54,87"
"SEZIONE 190";"";"9,92";"34,95";"43,02";"56,75"
"SEZIONE 191";"";"11,87";"33,01";"41,10";"55,02"
"SEZIONE 192";"";"12,42";"31,18";"37,39";"50,71"
"SEZIONE 193";"";"15,97";"43,25";"49,48";"61,69"
"SEZIONE 194";"";"8,59";"30,47";"41,27";"50,55"
"SEZIONE 195";"";"12,74";"33,15";"39,32";"50,00"
"SEZIONE 196";"";"7,31";"28,46";"40,59";"49,30"
