"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"ROMA";"2.592 su 2.599";"17,83";"43,99";"51,51";"64,23"
"SEZIONE 1";"";"16,97";"45,53";"56,21";"68,46"
"SEZIONE 2";"";"23,32";"47,72";"55,19";"69,40"
"SEZIONE 3";"";"16,90";"35,35";"43,52";"53,38"
"SEZIONE 4";"";"17,65";"43,28";"50,63";"67,86"
"SEZIONE 5";"";"21,00";"47,90";"54,43";"68,74"
"SEZIONE 6";"";"18,69";"45,59";"53,95";"68,39"
"SEZIONE 7";"";"23,72";"51,70";"60,23";"74,72"
"SEZIONE 8";"";"18,09";"36,67";"39,61";"49,14"
"SEZIONE 9";"";"20,30";"44,01";"55,18";"69,48"
"SEZIONE 10";"";"20,98";"43,10";"51,01";"68,25"
"SEZIONE 11";"";"22,05";"49,70";"59,81";"71,25"
"SEZIONE 12";"";"21,09";"47,78";"54,20";"65,40"
"SEZIONE 13";"";"21,73";"46,40";"52,50";"67,89"
"SEZIONE 14";"";"21,10";"49,85";"59,37";"74,19"
"SEZIONE 15";"";"21,28";"47,16";"54,96";"67,85"
"SEZIONE 16";"";"18,62";"46,99";"55,30";"67,34"
"SEZIONE 17";"";"23,19";"51,53";"59,51";"74,11"
"SEZIONE 18";"";"17,32";"52,33";"57,17";"70,02"
"SEZIONE 19";"";"15,11";"44,04";"50,85";"65,11"
"SEZIONE 20";"";"17,86";"46,02";"54,89";"66,62"
"SEZIONE 21";"";"18,71";"48,80";"58,75";"70,98"
"SEZIONE 22";"";"18,21";"44,32";"53,94";"66,36"
"SEZIONE 23";"";"15,13";"39,03";"44,93";"62,63"
"SEZIONE 24";"";"15,49";"35,92";"45,49";"61,69"
"SEZIONE 25";"";"15,34";"46,48";"55,09";"67,68"
"SEZIONE 26";"";"17,54";"41,69";"50,34";"64,69"
"SEZIONE 27";"";"17,66";"48,30";"55,53";"67,02"
"SEZIONE 28";"";"19,88";"49,18";"54,26";"66,22"
"SEZIONE 29";"";"23,02";"54,09";"62,94";"75,07"
"SEZIONE 30";"";"21,17";"54,86";"64,58";"80,03"
"SEZIONE 31";"";"21,54";"54,91";"63,85";"N.P."
"SEZIONE 32";"";"21,10";"50,46";"57,45";"N.P."
"SEZIONE 33";"";"23,53";"50,00";"58,94";"70,47"
"SEZIONE 34";"";"21,90";"55,24";"62,96";"75,87"
"SEZIONE 35";"";"20,86";"50,73";"59,98";"73,51"
"SEZIONE 36";"";"17,84";"45,34";"56,73";"69,62"
"SEZIONE 37";"";"17,24";"47,93";"58,44";"70,13"
"SEZIONE 38";"";"20,09";"46,97";"55,54";"69,13"
"SEZIONE 39";"";"19,03";"49,52";"59,86";"73,38"
"SEZIONE 40";"";"20,83";"47,80";"55,81";"67,29"
"SEZIONE 41";"";"21,41";"54,82";"64,24";"78,24"
"SEZIONE 42";"";"23,85";"49,33";"59,41";"72,89"
"SEZIONE 43";"";"19,08";"39,79";"49,48";"63,79"
"SEZIONE 44";"";"19,84";"44,72";"51,87";"66,02"
"SEZIONE 45";"";"18,54";"46,83";"59,02";"73,50"
"SEZIONE 46";"";"23,04";"48,26";"58,99";"71,16"
"SEZIONE 47";"";"20,82";"46,48";"54,55";"71,41"
"SEZIONE 48";"";"19,82";"50,26";"59,46";"75,00"
"SEZIONE 49";"";"16,49";"47,94";"58,93";"73,74"
"SEZIONE 50";"";"22,85";"54,05";"65,80";"77,55"
"SEZIONE 51";"";"18,45";"42,84";"52,26";"66,71"
"SEZIONE 52";"";"19,63";"49,77";"60,75";"73,48"
"SEZIONE 53";"";"16,49";"49,46";"67,29";"80,16"
"SEZIONE 54";"";"18,40";"51,23";"60,49";"74,94"
"SEZIONE 55";"";"18,18";"47,81";"58,15";"72,57"
"SEZIONE 56";"";"22,88";"54,61";"62,07";"72,44"
"SEZIONE 57";"";"21,54";"46,94";"57,18";"71,68"
"SEZIONE 58";"";"21,76";"55,99";"65,04";"76,28"
"SEZIONE 59";"";"24,50";"53,82";"63,17";"75,35"
"SEZIONE 60";"";"19,87";"52,62";"60,67";"100,00"
"SEZIONE 61";"";"30,65";"58,12";"68,13";"81,03"
"SEZIONE 62";"";"22,46";"52,97";"63,41";"77,15"
"SEZIONE 63";"";"15,14";"51,36";"63,77";"79,01"
"SEZIONE 64";"";"20,33";"50,26";"60,74";"72,51"
"SEZIONE 65";"";"20,91";"53,41";"61,93";"75,23"
"SEZIONE 66";"";"21,14";"48,43";"56,28";"69,32"
"SEZIONE 67";"";"14,84";"33,45";"38,88";"46,78"
"SEZIONE 68";"";"21,03";"51,73";"60,22";"74,31"
"SEZIONE 69";"";"23,45";"54,26";"63,24";"74,21"
"SEZIONE 70";"";"17,76";"43,32";"52,70";"68,61"
"SEZIONE 71";"";"19,56";"47,40";"57,90";"70,94"
"SEZIONE 72";"";"21,89";"49,33";"56,11";"69,00"
"SEZIONE 73";"";"19,32";"49,51";"60,29";"72,72"
"SEZIONE 74";"";"19,57";"53,14";"63,16";"76,09"
"SEZIONE 75";"";"19,53";"47,79";"57,07";"73,25"
"SEZIONE 76";"";"21,17";"53,80";"63,84";"74,53"
"SEZIONE 77";"";"20,49";"53,14";"63,33";"75,69"
"SEZIONE 78";"";"20,00";"49,33";"57,82";"67,76"
"SEZIONE 79";"";"23,55";"51,79";"59,43";"70,53"
"SEZIONE 80";"";"20,25";"50,25";"56,91";"68,02"
