"";"";"";"Domenica";""
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23"
"TARANTO";"191 su 191";"12,52";"30,30";"37,09"
"SEZIONE 1";"";"11,98";"30,30";"40,69"
"SEZIONE 2";"";"8,95";"24,55";"34,70"
"SEZIONE 3";"";"10,87";"26,22";"33,02"
"SEZIONE 4";"";"11,58";"31,42";"39,19"
"SEZIONE 5";"";"12,42";"29,44";"37,26"
"SEZIONE 6";"";"11,16";"25,53";"31,83"
"SEZIONE 7";"";"11,10";"31,33";"39,03"
"SEZIONE 8";"";"10,36";"28,25";"37,57"
"SEZIONE 9";"";"15,11";"35,05";"41,24"
"SEZIONE 10";"";"12,14";"33,64";"40,32"
"SEZIONE 11";"";"12,87";"31,29";"36,73"
"SEZIONE 12";"";"12,16";"28,27";"35,34"
"SEZIONE 13";"";"11,97";"32,70";"40,16"
"SEZIONE 14";"";"11,94";"32,46";"41,47"
"SEZIONE 15";"";"12,07";"39,81";"46,19"
"SEZIONE 16";"";"7,98";"16,76";"22,77"
"SEZIONE 17";"";"11,44";"24,84";"34,88"
"SEZIONE 18";"";"8,99";"22,48";"33,54"
"SEZIONE 19";"";"12,59";"28,42";"38,64"
"SEZIONE 20";"";"14,14";"32,43";"39,82"
"SEZIONE 21";"";"13,99";"30,43";"39,75"
"SEZIONE 22";"";"12,82";"29,88";"39,15"
"SEZIONE 23";"";"13,74";"34,07";"43,96"
"SEZIONE 24";"";"11,16";"33,47";"40,44"
"SEZIONE 25";"";"11,09";"34,04";"43,10"
"SEZIONE 26";"";"9,34";"28,74";"36,57"
"SEZIONE 27";"";"10,45";"34,64";"43,18"
"SEZIONE 28";"";"13,00";"31,80";"40,81"
"SEZIONE 29";"";"16,67";"42,12";"48,70"
"SEZIONE 30";"";"14,56";"37,13";"44,73"
"SEZIONE 31";"";"19,21";"40,34";"47,98"
"SEZIONE 32";"";"16,08";"42,72";"50,35"
"SEZIONE 33";"";"15,73";"39,79";"44,94"
"SEZIONE 34";"";"15,45";"33,30";"42,44"
"SEZIONE 35";"";"12,83";"30,48";"40,67"
"SEZIONE 36";"";"15,17";"37,13";"46,14"
"SEZIONE 37";"";"13,64";"34,73";"39,98"
"SEZIONE 38";"";"18,89";"43,92";"53,44"
"SEZIONE 39";"";"19,05";"40,63";"50,00"
"SEZIONE 40";"";"12,12";"34,51";"41,72"
"SEZIONE 41";"";"17,75";"41,61";"49,51"
"SEZIONE 42";"";"16,58";"41,17";"51,00"
"SEZIONE 43";"";"13,23";"27,56";"31,92"
"SEZIONE 44";"";"13,35";"36,65";"43,87"
"SEZIONE 45";"";"13,62";"34,66";"43,97"
"SEZIONE 46";"";"17,54";"42,74";"54,39"
"SEZIONE 47";"";"8,02";"20,70";"24,97"
"SEZIONE 48";"";"8,72";"26,15";"33,12"
"SEZIONE 49";"";"11,79";"32,28";"37,54"
"SEZIONE 50";"";"17,69";"43,20";"51,02"
"SEZIONE 51";"";"9,18";"35,45";"42,58"
"SEZIONE 52";"";"14,51";"35,93";"42,09"
"SEZIONE 53";"";"14,97";"32,23";"41,12"
"SEZIONE 54";"";"13,53";"37,22";"46,96"
"SEZIONE 55";"";"13,42";"37,84";"45,91"
"SEZIONE 56";"";"15,61";"36,20";"44,44"
"SEZIONE 57";"";"16,85";"33,70";"54,76"
"SEZIONE 58";"";"20,03";"43,74";"51,52"
"SEZIONE 59";"";"20,17";"47,03";"53,96"
"SEZIONE 60";"";"17,98";"36,75";"44,32"
"SEZIONE 61";"";"16,71";"38,27";"44,88"
"SEZIONE 62";"";"15,00";"37,42";"44,84"
"SEZIONE 63";"";"11,19";"35,36";"41,30"
"SEZIONE 64";"";"13,18";"31,77";"38,07"
"SEZIONE 65";"";"16,40";"41,80";"50,47"
"SEZIONE 66";"";"15,47";"34,20";"43,16"
"SEZIONE 67";"";"13,96";"34,08";"39,49"
"SEZIONE 68";"";"9,70";"32,54";"42,89"
"SEZIONE 69";"";"15,31";"43,19";"51,15"
"SEZIONE 70";"";"11,41";"30,73";"40,51"
"SEZIONE 71";"";"12,00";"35,51";"42,76"
"SEZIONE 72";"";"11,63";"29,69";"37,76"
"SEZIONE 73";"";"11,59";"25,26";"32,39"
"SEZIONE 74";"";"14,56";"30,86";"37,60"
"SEZIONE 75";"";"15,24";"34,62";"41,27"
"SEZIONE 76";"";"15,53";"30,37";"36,75"
"SEZIONE 77";"";"13,89";"32,77";"39,45"
"SEZIONE 78";"";"13,51";"29,11";"35,93"
"SEZIONE 79";"";"12,83";"31,08";"34,39"
"SEZIONE 80";"";"13,97";"30,73";"37,71"
"SEZIONE 81";"";"14,37";"34,31";"36,95"
"SEZIONE 82";"";"17,85";"35,85";"42,66"
"SEZIONE 83";"";"12,47";"35,22";"41,65"
"SEZIONE 84";"";"15,35";"38,27";"44,30"
"SEZIONE 85";"";"17,87";"38,15";"45,68"
"SEZIONE 86";"";"14,95";"34,00";"39,37"
"SEZIONE 87";"";"12,07";"25,86";"28,54"
"SEZIONE 88";"";"8,30";"19,73";"23,13"
"SEZIONE 89";"";"13,66";"32,07";"37,93"
"SEZIONE 90";"";"14,98";"30,78";"35,85"
"SEZIONE 91";"";"11,85";"27,96";"34,24"
"SEZIONE 92";"";"14,40";"31,07";"37,74"
"SEZIONE 93";"";"14,33";"29,94";"32,09"
"SEZIONE 94";"";"8,52";"22,17";"26,60"
"SEZIONE 95";"";"10,76";"25,50";"28,81"
"SEZIONE 96";"";"9,90";"18,21";"23,48"
"SEZIONE 97";"";"16,21";"28,45";"36,55"
"SEZIONE 98";"";"13,36";"27,95";"32,27"
"SEZIONE 99";"";"11,93";"30,00";"35,23"
"SEZIONE 100";"";"11,87";"25,47";"29,60"
"SEZIONE 101";"";"13,47";"23,87";"27,96"
"SEZIONE 102";"";"11,23";"19,75";"23,09"
"SEZIONE 103";"";"8,99";"18,84";"23,04"
"SEZIONE 104";"";"10,93";"22,40";"26,13"
"SEZIONE 105";"";"15,76";"38,34";"46,15"
"SEZIONE 106";"";"17,40";"37,91";"43,42"
"SEZIONE 107";"";"12,78";"32,33";"41,33"
"SEZIONE 108";"";"12,48";"33,07";"41,17"
"SEZIONE 109";"";"14,81";"36,39";"44,04"
"SEZIONE 110";"";"12,44";"30,05";"38,21"
"SEZIONE 111";"";"15,18";"32,85";"40,31"
"SEZIONE 112";"";"15,38";"37,91";"39,84"
"SEZIONE 113";"";"14,07";"31,75";"41,23"
"SEZIONE 114";"";"11,43";"33,57";"41,71"
"SEZIONE 115";"";"14,64";"32,01";"39,26"
"SEZIONE 116";"";"16,60";"32,62";"41,06"
"SEZIONE 117";"";"12,83";"32,13";"37,48"
"SEZIONE 118";"";"17,03";"33,57";"38,85"
"SEZIONE 119";"";"13,87";"29,32";"32,46"
"SEZIONE 120";"";"13,48";"30,07";"36,60"
"SEZIONE 121";"";"9,30";"23,75";"30,97"
"SEZIONE 122";"";"10,97";"39,03";"46,05"
"SEZIONE 123";"";"16,10";"38,70";"46,89"
"SEZIONE 124";"";"19,49";"43,79";"51,00"
"SEZIONE 125";"";"12,52";"26,34";"32,33"
"SEZIONE 126";"";"15,23";"35,98";"42,59"
"SEZIONE 127";"";"16,37";"38,89";"46,97"
"SEZIONE 128";"";"15,90";"38,92";"46,75"
"SEZIONE 129";"";"16,36";"41,57";"50,08"
"SEZIONE 130";"";"18,10";"39,54";"48,68"
"SEZIONE 131";"";"18,60";"39,30";"50,91"
"SEZIONE 132";"";"17,55";"42,67";"51,44"
"SEZIONE 133";"";"11,99";"36,58";"48,43"
"SEZIONE 134";"";"17,60";"41,50";"48,67"
"SEZIONE 135";"";"18,24";"40,49";"46,31"
"SEZIONE 136";"";"15,45";"40,26";"49,61"
"SEZIONE 137";"";"14,43";"38,40";"46,39"
"SEZIONE 138";"";"12,34";"29,77";"38,68"
"SEZIONE 139";"";"12,53";"32,17";"39,41"
"SEZIONE 140";"";"12,21";"30,66";"37,04"
"SEZIONE 141";"";"12,01";"32,52";"40,88"
"SEZIONE 142";"";"10,29";"24,29";"29,43"
"SEZIONE 143";"";"15,14";"35,81";"43,51"
"SEZIONE 144";"";"11,83";"19,78";"26,62"
"SEZIONE 145";"";"11,76";"28,96";"36,05"
"SEZIONE 146";"";"11,41";"24,64";"28,80"
"SEZIONE 147";"";"13,66";"29,58";"43,10"
"SEZIONE 148";"";"12,38";"33,73";"34,78"
"SEZIONE 149";"";"8,25";"21,94";"26,22"
"SEZIONE 150";"";"10,95";"20,61";"24,64"
"SEZIONE 151";"";"10,21";"25,00";"31,67"
"SEZIONE 152";"";"11,13";"26,52";"33,00"
"SEZIONE 153";"";"18,05";"38,05";"43,54"
"SEZIONE 154";"";"12,78";"31,52";"35,38"
"SEZIONE 155";"";"9,66";"19,83";"22,76"
"SEZIONE 156";"";"2,70";"9,01";"10,36"
"SEZIONE 157";"";"4,75";"8,49";"9,50"
"SEZIONE 158";"";"7,68";"20,06";"22,62"
"SEZIONE 159";"";"10,88";"20,41";"23,67"
"SEZIONE 160";"";"7,90";"19,76";"23,38"
