"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"TORINO";"917 su 919";"10,75";"40,15";"49,94";"63,89"
"SEZIONE 1";"";"12,84";"45,88";"56,86";"73,55"
"SEZIONE 2";"";"8,66";"41,99";"50,51";"64,21"
"SEZIONE 3";"";"15,43";"44,79";"53,86";"72,40"
"SEZIONE 4";"";"15,29";"46,67";"57,99";"74,18"
"SEZIONE 5";"";"11,35";"38,84";"47,41";"61,29"
"SEZIONE 6";"";"10,04";"41,30";"60,11";"71,85"
"SEZIONE 7";"";"13,64";"47,38";"59,68";"75,88"
"SEZIONE 8";"";"21,25";"55,00";"66,25";"81,25"
"SEZIONE 9";"";"13,05";"45,31";"58,25";"74,43"
"SEZIONE 10";"";"13,05";"43,23";"56,03";"71,43"
"SEZIONE 11";"";"13,08";"44,59";"55,70";"73,14"
"SEZIONE 12";"";"9,99";"35,77";"43,55";"57,26"
"SEZIONE 13";"";"12,36";"43,12";"52,81";"68,96"
"SEZIONE 14";"";"14,39";"45,34";"57,07";"72,31"
"SEZIONE 15";"";"11,76";"45,88";"53,24";"71,62"
"SEZIONE 16";"";"15,50";"44,83";"54,05";"69,69"
"SEZIONE 17";"";"10,97";"44,51";"54,23";"71,00"
"SEZIONE 18";"";"11,62";"49,70";"61,32";"76,53"
"SEZIONE 19";"";"11,17";"39,00";"49,67";"65,83"
"SEZIONE 20";"";"13,57";"48,65";"58,83";"76,14"
"SEZIONE 21";"";"15,51";"39,56";"50,10";"65,41"
"SEZIONE 22";"";"13,94";"47,31";"61,86";"77,75"
"SEZIONE 23";"";"11,24";"46,32";"58,50";"74,56"
"SEZIONE 24";"";"13,83";"46,48";"61,26";"79,14"
"SEZIONE 25";"";"13,56";"44,59";"55,29";"69,20"
"SEZIONE 26";"";"12,32";"42,18";"54,03";"65,09"
"SEZIONE 27";"";"12,52";"42,10";"56,34";"71,52"
"SEZIONE 28";"";"14,01";"43,27";"53,26";"70,04"
"SEZIONE 29";"";"11,03";"43,58";"54,33";"71,65"
"SEZIONE 30";"";"12,18";"41,04";"54,17";"73,05"
"SEZIONE 31";"";"11,79";"45,12";"57,03";"73,13"
"SEZIONE 32";"";"14,00";"49,93";"62,48";"75,30"
"SEZIONE 33";"";"13,24";"41,29";"52,52";"70,94"
"SEZIONE 34";"";"13,78";"43,17";"57,35";"72,56"
"SEZIONE 35";"";"9,14";"43,19";"58,96";"71,68"
"SEZIONE 36";"";"14,24";"47,53";"58,24";"77,29"
"SEZIONE 37";"";"12,03";"49,11";"61,39";"77,34"
"SEZIONE 38";"";"13,47";"50,32";"68,18";"82,79"
"SEZIONE 39";"";"11,75";"48,46";"61,82";"75,83"
"SEZIONE 40";"";"13,67";"47,22";"62,64";"76,31"
"SEZIONE 41";"";"11,65";"40,47";"52,76";"66,93"
"SEZIONE 42";"";"14,87";"48,16";"60,68";"73,78"
"SEZIONE 43";"";"15,33";"48,18";"61,02";"75,18"
