elettori,votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
392,314,80.1,2,0,0,23/03/2026 - 16:02,1,138,174
581,413,71.08,0,2,0,23/03/2026 - 15:55,2,183,228
640,459,71.72,0,1,0,23/03/2026 - 16:12,3,216,242
634,496,78.23,2,0,0,23/03/2026 - 16:12,4,219,275
542,434,80.07,0,1,0,23/03/2026 - 16:54,5,213,220
638,487,76.33,0,0,0,23/03/2026 - 15:55,6,179,308
679,533,78.5,1,0,0,23/03/2026 - 15:55,7,159,373
536,397,74.07,0,2,0,23/03/2026 - 15:55,8,108,287
574,406,70.73,1,0,0,23/03/2026 - 16:10,9,128,277
619,465,75.12,0,2,0,23/03/2026 - 15:55,10,109,354
447,334,74.72,0,2,0,23/03/2026 - 15:55,11,111,221
563,408,72.47,2,1,0,23/03/2026 - 15:55,12,83,322
376,275,73.14,0,0,0,23/03/2026 - 15:55,13,74,201
623,482,77.37,0,0,0,23/03/2026 - 16:23,14,106,376
647,516,79.75,1,1,0,23/03/2026 - 15:55,15,180,334
611,449,73.49,1,1,0,23/03/2026 - 16:51,16,138,309
671,512,76.3,1,1,0,23/03/2026 - 18:06,17,116,394
736,604,82.07,0,3,0,23/03/2026 - 16:21,18,207,394
718,545,75.91,0,0,0,23/03/2026 - 15:55,19,201,344
686,535,77.99,0,0,0,23/03/2026 - 15:55,20,300,235
621,490,78.9,1,0,0,23/03/2026 - 16:21,21,147,342
754,585,77.59,0,2,0,23/03/2026 - 16:12,22,202,381
691,578,83.65,1,2,0,23/03/2026 - 16:10,23,214,361
748,580,77.54,1,2,0,23/03/2026 - 15:55,24,256,321
615,466,75.77,0,1,0,23/03/2026 - 15:55,25,178,287
680,519,76.32,1,3,0,23/03/2026 - 16:28,26,184,331
631,499,79.08,0,0,0,23/03/2026 - 15:55,27,131,368
723,557,77.04,1,1,0,23/03/2026 - 16:34,28,206,349
586,422,72.01,0,0,0,23/03/2026 - 15:55,29,128,294
717,521,72.66,1,1,0,23/03/2026 - 15:55,30,123,396
752,546,72.61,3,2,0,23/03/2026 - 16:05,31,141,400
711,547,76.93,2,1,0,23/03/2026 - 15:55,32,154,390
683,487,71.3,2,2,0,23/03/2026 - 15:56,33,131,352
645,445,68.99,1,0,0,23/03/2026 - 16:15,34,129,315
713,569,79.8,1,0,0,23/03/2026 - 15:56,35,166,402
696,518,74.43,0,0,0,23/03/2026 - 16:40,36,179,339
691,506,73.23,2,1,0,23/03/2026 - 15:56,37,164,339
622,405,65.11,2,0,0,23/03/2026 - 17:36,38,144,259
710,462,65.07,4,0,0,23/03/2026 - 16:40,39,112,346
631,492,77.97,1,0,0,23/03/2026 - 16:40,40,225,266
727,549,75.52,2,1,0,23/03/2026 - 16:57,41,180,366
692,498,71.97,0,0,0,23/03/2026 - 16:57,42,135,363
702,558,79.49,1,1,0,23/03/2026 - 16:57,43,188,368
643,460,71.54,0,1,0,23/03/2026 - 16:51,44,225,234
823,368,44.71,0,1,0,23/03/2026 - 17:36,45,157,210
608,455,74.84,2,1,0,23/03/2026 - 17:50,46,157,295
646,509,78.79,0,0,0,23/03/2026 - 18:06,47,164,345
595,469,78.82,0,1,0,23/03/2026 - 17:36,48,170,298
740,547,73.92,1,1,0,23/03/2026 - 15:56,49,222,323
738,537,72.76,1,1,0,23/03/2026 - 17:03,50,240,295
742,550,74.12,1,0,0,23/03/2026 - 17:50,51,234,315
