votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
371,71.76,0,2,0,ultimo,1,163,206
319,67.44,1,0,0,ultimo,2,175,143
404,70.63,0,1,0,ultimo,3,180,223
445,64.4,1,0,0,ultimo,4,192,252
400,69.81,0,1,0,ultimo,5,126,273
443,65.53,1,0,0,ultimo,6,154,288
451,71.36,3,0,0,ultimo,7,156,292
380,72.94,0,0,0,ultimo,8,135,245
272,60.71,1,0,0,ultimo,9,136,135
324,64.67,1,1,0,ultimo,10,138,184
344,64.18,1,0,0,ultimo,11,134,209
320,71.43,1,1,0,ultimo,12,117,201
542,64.45,0,0,0,ultimo,13,137,405
464,62.87,1,0,0,ultimo,14,116,347
539,66.13,1,3,0,ultimo,15,147,388
511,62.47,1,0,0,ultimo,16,134,376
524,65.75,1,1,0,ultimo,17,238,284
526,66.16,2,2,0,ultimo,18,181,341
562,72.05,0,0,0,ultimo,19,184,378
479,73.92,0,1,0,ultimo,20,149,329
488,71.14,2,0,0,ultimo,21,136,350
397,72.71,2,1,0,ultimo,22,128,266
316,64.89,0,0,0,ultimo,23,136,180
286,63.84,1,1,0,ultimo,24,103,181
321,63.82,0,1,0,ultimo,25,101,219
302,64.39,0,0,0,ultimo,26,128,174
584,74.11,3,2,0,ultimo,27,283,296
488,70.52,0,1,0,ultimo,28,205,282
476,71.47,3,0,0,ultimo,29,153,320
452,69.43,0,1,0,ultimo,30,144,307
535,75.56,2,2,0,ultimo,31,136,395
462,70.97,3,0,0,ultimo,32,173,286
527,68.62,4,1,0,ultimo,33,175,347
527,70.55,1,0,0,ultimo,34,201,325
477,73.38,3,0,0,ultimo,35,156,318
480,76.07,5,0,0,ultimo,36,159,316
585,73.31,1,0,0,ultimo,37,195,389
558,73.13,8,1,0,ultimo,38,172,377
523,69.73,3,1,0,ultimo,39,173,346
642,71.81,0,2,0,ultimo,40,220,420
567,74.41,3,0,0,ultimo,41,180,384
521,76.06,2,1,0,ultimo,42,194,324
477,68.34,0,4,0,ultimo,43,122,351
526,74.72,0,0,0,ultimo,44,163,363
524,65.99,1,0,0,ultimo,45,172,351
532,71.99,0,0,0,ultimo,46,196,336
382,64.86,1,1,0,ultimo,47,156,224
457,72.54,4,2,0,ultimo,48,146,305
490,74.36,10,0,0,ultimo,49,195,285
534,71.11,0,0,0,ultimo,50,196,338
304,62.04,1,0,0,ultimo,51,113,190
351,60.0,0,1,0,ultimo,52,132,218
406,68.7,0,1,0,ultimo,53,140,265
516,67.1,0,1,0,ultimo,54,177,338
446,66.17,0,0,0,ultimo,55,160,286
394,66.89,1,0,0,ultimo,56,103,290
486,69.13,1,0,0,ultimo,57,137,348
509,74.52,2,0,0,ultimo,58,179,328
507,71.71,0,0,0,ultimo,59,173,334
502,72.75,2,1,0,ultimo,60,161,338
589,73.26,1,3,0,ultimo,61,216,369
455,73.03,2,0,0,ultimo,62,144,309
626,70.89,0,1,0,ultimo,63,341,284
521,74.11,1,0,0,ultimo,64,195,325
649,74.77,1,3,0,ultimo,65,263,382
570,72.15,0,1,0,ultimo,66,223,346
659,76.54,2,1,0,ultimo,67,255,401
504,73.04,1,0,0,ultimo,68,119,384
553,74.43,1,0,0,ultimo,69,163,389
645,74.91,1,2,0,ultimo,70,195,447
561,71.19,2,2,0,ultimo,71,140,417
