votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
179,72.47,1,0,0,ultimo,1,60,118
515,67.94,1,2,0,ultimo,2,148,364
122,49.19,3,1,0,ultimo,3,54,64
222,52.61,1,0,2,ultimo,4,62,157
406,66.23,1,3,0,ultimo,5,117,285
240,55.94,3,0,0,ultimo,6,65,172
82,64.06,0,0,0,ultimo,7,29,53
367,66.85,3,1,0,ultimo,8,104,259
645,70.11,1,1,0,ultimo,9,270,373
436,65.56,1,4,0,ultimo,10,120,311
440,62.41,1,1,0,ultimo,11,102,336
445,63.66,0,0,0,ultimo,12,140,305
529,62.09,4,3,0,ultimo,13,157,365
451,62.73,1,0,0,ultimo,14,162,288
497,72.24,2,0,0,ultimo,15,148,347
443,66.42,3,4,0,ultimo,16,120,316
158,45.8,1,0,0,ultimo,17,54,103
435,60.58,2,1,0,ultimo,18,111,321
292,43.32,1,2,0,ultimo,19,210,79
479,52.01,0,2,0,ultimo,20,162,315
132,30.7,3,0,0,ultimo,21,40,89
243,44.51,1,1,0,ultimo,22,101,140
160,35.16,1,0,0,ultimo,23,47,112
133,33.84,1,1,0,ultimo,24,49,82
207,40.35,1,0,0,ultimo,25,58,148
379,53.23,1,0,0,ultimo,26,90,288
287,53.35,1,0,0,ultimo,27,95,191
328,48.59,1,0,0,ultimo,28,120,207
290,63.04,2,1,0,ultimo,29,92,195
526,59.77,1,0,0,ultimo,30,177,348
437,58.5,2,0,0,ultimo,31,148,287
559,67.59,5,0,0,ultimo,32,202,352
445,62.24,2,0,0,ultimo,33,135,308
415,58.04,0,1,0,ultimo,34,134,280
486,63.04,3,2,0,ultimo,35,137,344
411,61.25,2,0,0,ultimo,36,116,293
293,60.91,0,0,0,ultimo,37,94,199
539,64.71,3,1,0,ultimo,38,163,372
343,54.36,3,0,0,ultimo,39,89,251
233,40.52,0,1,0,ultimo,40,89,143
276,50.83,3,1,0,ultimo,41,85,187
357,46.97,4,2,0,ultimo,42,103,248
447,63.14,3,0,0,ultimo,43,158,286
387,66.61,4,0,0,ultimo,44,126,257
392,66.55,0,0,0,ultimo,45,153,239
406,68.24,0,2,0,ultimo,46,147,257
619,69.63,0,1,2,ultimo,47,232,384
572,69.17,3,1,0,ultimo,48,210,358
588,64.47,0,1,0,ultimo,49,201,386
630,75.36,2,0,0,ultimo,50,203,425
513,64.53,2,0,0,ultimo,51,151,360
555,69.46,3,1,0,ultimo,52,191,360
610,68.77,1,1,0,ultimo,53,219,389
622,70.36,4,0,0,ultimo,54,203,415
615,71.43,0,0,0,ultimo,55,224,391
675,76.36,2,0,0,ultimo,56,263,410
568,74.74,2,2,0,ultimo,57,250,314
477,66.9,1,0,0,ultimo,58,178,298
621,72.97,2,6,0,ultimo,59,207,406
435,66.51,0,1,0,ultimo,60,150,284
522,70.73,1,1,0,ultimo,61,174,346
536,69.16,0,2,0,ultimo,62,183,351
577,67.8,2,1,0,ultimo,63,220,354
110,63.95,0,0,0,ultimo,64,42,68
123,55.91,0,0,0,ultimo,65,41,82
279,62.0,1,1,0,ultimo,66,92,185
590,70.57,0,2,0,ultimo,67,264,324
445,67.02,3,0,0,ultimo,68,137,305
431,67.13,1,1,0,ultimo,69,150,279
535,64.15,0,1,0,ultimo,70,184,350
447,57.9,0,2,0,ultimo,71,145,300
462,62.18,2,0,0,ultimo,72,154,306
316,62.95,3,1,0,ultimo,73,115,197
582,67.67,3,0,0,ultimo,74,189,390
365,60.33,0,0,0,ultimo,75,121,244
356,60.96,2,0,0,ultimo,76,104,250
292,60.46,1,0,0,ultimo,77,95,196
450,57.11,1,2,0,ultimo,78,178,269
468,58.65,4,1,0,ultimo,79,130,333
438,60.83,0,1,0,ultimo,80,167,270
489,62.29,0,0,0,ultimo,81,159,330
596,72.24,2,1,0,ultimo,82,208,385
510,70.15,0,0,0,ultimo,83,168,342
