elettori,votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
737,495,67.16,0,0,0,23/03/2026 - 15:31,1,234,261
840,520,61.9,1,0,0,23/03/2026 - 16:18,2,215,304
936,601,64.21,3,0,0,23/03/2026 - 15:47,3,293,305
647,272,42.04,1,0,0,23/03/2026 - 16:07,4,118,153
760,530,69.74,1,0,0,23/03/2026 - 16:36,5,188,341
785,377,48.03,0,0,0,23/03/2026 - 15:32,6,110,267
727,401,55.16,3,0,0,23/03/2026 - 15:27,7,107,291
797,293,36.76,0,0,0,23/03/2026 - 15:37,8,88,205
930,385,41.4,0,1,0,23/03/2026 - 16:18,9,67,317
803,311,38.73,1,1,0,23/03/2026 - 15:27,10,56,253
669,285,42.6,0,0,0,23/03/2026 - 15:27,11,66,219
752,399,53.06,0,0,0,23/03/2026 - 16:08,13,83,316
659,429,65.1,3,0,0,23/03/2026 - 15:47,14,110,316
843,375,44.48,2,0,0,23/03/2026 - 16:47,15,105,268
835,429,51.38,0,1,1,23/03/2026 - 17:24,16,135,292
637,344,54.0,1,1,0,23/03/2026 - 16:44,17,137,205
682,438,64.22,2,0,0,23/03/2026 - 16:32,18,147,289
765,518,67.71,0,1,0,23/03/2026 - 16:18,19,213,304
865,595,68.79,2,0,0,23/03/2026 - 16:18,20,263,330
909,635,69.86,0,0,0,23/03/2026 - 16:18,21,264,371
762,543,71.26,0,0,0,23/03/2026 - 16:08,22,301,242
997,726,72.82,2,0,0,23/03/2026 - 16:18,23,369,355
732,420,57.38,3,0,0,23/03/2026 - 15:47,24,135,282
897,476,53.07,3,0,0,23/03/2026 - 16:18,25,182,291
906,550,60.71,0,0,0,23/03/2026 - 15:47,26,192,358
911,672,73.77,2,0,0,23/03/2026 - 16:19,27,293,377
710,483,68.03,4,0,0,23/03/2026 - 16:37,28,202,277
678,456,67.26,0,0,0,23/03/2026 - 17:05,29,214,242
763,401,52.56,0,0,0,23/03/2026 - 16:18,30,181,220
805,542,67.33,1,0,0,23/03/2026 - 15:56,31,249,292
915,645,70.49,3,1,0,23/03/2026 - 16:31,32,236,405
810,519,64.07,0,0,0,23/03/2026 - 17:06,33,145,374
861,538,62.49,2,1,0,23/03/2026 - 15:42,34,232,303
820,549,66.95,0,1,0,23/03/2026 - 17:06,35,304,244
813,508,62.48,0,0,0,23/03/2026 - 15:56,36,165,343
777,549,70.66,1,0,0,23/03/2026 - 16:18,37,195,353
861,617,71.66,2,0,0,23/03/2026 - 16:18,38,257,358
967,698,72.18,2,0,0,23/03/2026 - 15:57,39,210,486
757,482,63.67,1,0,0,23/03/2026 - 17:06,40,183,298
790,540,68.35,1,0,0,23/03/2026 - 17:06,41,167,372
880,516,58.64,1,1,0,23/03/2026 - 16:24,42,185,329
706,516,73.09,0,0,0,23/03/2026 - 16:54,43,211,305
761,468,61.5,0,0,0,23/03/2026 - 16:44,44,190,278
748,371,49.6,0,1,0,23/03/2026 - 16:08,45,82,288
821,496,60.41,5,0,0,23/03/2026 - 17:06,46,120,371
824,430,52.18,0,0,0,23/03/2026 - 16:24,47,90,340
753,431,57.24,1,0,0,23/03/2026 - 15:37,48,113,317
