elettori,votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
247,179,72.47,1,0,0,23/03/2026 - 15:43,1,60,118
758,515,67.94,1,2,0,23/03/2026 - 16:07,2,148,364
248,122,49.19,3,1,0,23/03/2026 - 16:25,3,54,64
422,222,52.61,1,0,2,23/03/2026 - 15:43,4,62,157
613,406,66.23,1,3,0,23/03/2026 - 15:56,5,117,285
429,240,55.94,3,0,0,23/03/2026 - 15:43,6,65,172
128,82,64.06,0,0,0,23/03/2026 - 16:01,7,29,53
549,367,66.85,3,1,0,23/03/2026 - 15:43,8,104,259
920,645,70.11,1,1,0,23/03/2026 - 15:43,9,270,373
665,436,65.56,1,4,0,23/03/2026 - 15:43,10,120,311
705,440,62.41,1,1,0,23/03/2026 - 15:43,11,102,336
699,445,63.66,0,0,0,23/03/2026 - 15:56,12,140,305
852,529,62.09,4,3,0,23/03/2026 - 16:02,13,157,365
719,451,62.73,1,0,0,23/03/2026 - 16:15,14,162,288
688,497,72.24,2,0,0,23/03/2026 - 16:29,15,148,347
667,443,66.42,3,4,0,23/03/2026 - 15:43,16,120,316
345,158,45.8,1,0,0,23/03/2026 - 15:56,17,54,103
718,435,60.58,2,1,0,23/03/2026 - 16:07,18,111,321
674,292,43.32,1,2,0,23/03/2026 - 16:18,19,210,79
921,479,52.01,0,2,0,23/03/2026 - 15:43,20,162,315
430,132,30.7,3,0,0,23/03/2026 - 15:43,21,40,89
546,243,44.51,1,1,0,23/03/2026 - 16:20,22,101,140
455,160,35.16,1,0,0,23/03/2026 - 16:07,23,47,112
393,133,33.84,1,1,0,23/03/2026 - 16:11,24,49,82
513,207,40.35,1,0,0,23/03/2026 - 16:15,25,58,148
712,379,53.23,1,0,0,23/03/2026 - 16:57,26,90,288
538,287,53.35,1,0,0,23/03/2026 - 15:43,27,95,191
675,328,48.59,1,0,0,23/03/2026 - 15:43,28,120,207
460,290,63.04,2,1,0,23/03/2026 - 16:02,29,92,195
880,526,59.77,1,0,0,23/03/2026 - 15:56,30,177,348
747,437,58.5,2,0,0,23/03/2026 - 15:43,31,148,287
827,559,67.59,5,0,0,23/03/2026 - 15:56,32,202,352
715,445,62.24,2,0,0,23/03/2026 - 16:15,33,135,308
715,415,58.04,0,1,0,23/03/2026 - 16:03,34,134,280
771,486,63.04,3,2,0,23/03/2026 - 16:01,35,137,344
671,411,61.25,2,0,0,23/03/2026 - 15:43,36,116,293
481,293,60.91,0,0,0,23/03/2026 - 15:56,37,94,199
833,539,64.71,3,1,0,23/03/2026 - 16:15,38,163,372
631,343,54.36,3,0,0,23/03/2026 - 15:56,39,163,372
575,233,40.52,0,1,0,23/03/2026 - 15:56,40,89,143
543,276,50.83,3,1,0,23/03/2026 - 15:56,41,85,187
760,357,46.97,4,2,0,23/03/2026 - 15:43,42,103,248
708,447,63.14,3,0,0,23/03/2026 - 15:56,43,158,286
581,387,66.61,4,0,0,23/03/2026 - 15:43,44,126,257
589,392,66.55,0,0,0,23/03/2026 - 15:56,45,153,239
595,406,68.24,0,2,0,23/03/2026 - 15:43,46,147,257
889,619,69.63,0,1,2,23/03/2026 - 15:56,47,232,384
827,572,69.17,3,1,0,23/03/2026 - 16:03,48,210,358
912,588,64.47,0,1,0,23/03/2026 - 15:43,49,201,386
836,630,75.36,2,0,0,23/03/2026 - 15:56,50,203,425
795,513,64.53,2,0,0,23/03/2026 - 15:43,51,151,360
799,555,69.46,3,1,0,23/03/2026 - 15:56,52,191,360
887,610,68.77,1,1,0,23/03/2026 - 15:43,53,219,389
884,622,70.36,4,0,0,23/03/2026 - 16:09,54,203,415
861,615,71.43,0,0,0,23/03/2026 - 16:07,55,224,391
884,675,76.36,2,0,0,23/03/2026 - 16:01,56,263,410
760,568,74.74,2,2,0,23/03/2026 - 15:56,57,250,314
713,477,66.9,1,0,0,23/03/2026 - 15:43,58,178,298
851,621,72.97,2,6,0,23/03/2026 - 15:56,59,207,406
654,435,66.51,0,1,0,23/03/2026 - 15:43,60,150,284
738,522,70.73,1,1,0,23/03/2026 - 16:02,61,174,346
775,536,69.16,0,2,0,23/03/2026 - 15:56,62,183,351
851,577,67.8,2,1,0,23/03/2026 - 16:01,63,220,354
172,110,63.95,0,0,0,23/03/2026 - 15:43,64,42,68
220,123,55.91,0,0,0,23/03/2026 - 15:43,65,41,82
450,279,62.0,1,1,0,23/03/2026 - 15:43,66,92,185
836,590,70.57,0,2,0,23/03/2026 - 16:15,67,264,324
664,445,67.02,3,0,0,23/03/2026 - 16:31,68,137,305
642,431,67.13,1,1,0,23/03/2026 - 15:43,69,150,279
834,535,64.15,0,1,0,23/03/2026 - 15:43,70,184,350
772,447,57.9,0,2,0,23/03/2026 - 16:27,71,145,300
743,462,62.18,2,0,0,23/03/2026 - 16:01,72,154,306
502,316,62.95,3,1,0,23/03/2026 - 15:43,73,115,197
860,582,67.67,3,0,0,23/03/2026 - 16:16,74,189,390
605,365,60.33,0,0,0,23/03/2026 - 15:43,75,121,244
584,356,60.96,2,0,0,23/03/2026 - 16:01,76,104,250
483,292,60.46,1,0,0,23/03/2026 - 15:43,77,95,196
788,450,57.11,1,2,0,23/03/2026 - 15:56,78,178,269
798,468,58.65,4,1,0,23/03/2026 - 16:03,79,130,333
720,438,60.83,0,1,0,23/03/2026 - 15:43,80,167,270
785,489,62.29,0,0,0,23/03/2026 - 15:43,81,159,330
825,596,72.24,2,1,0,23/03/2026 - 15:43,82,208,385
727,510,70.15,0,0,0,23/03/2026 - 15:43,83,168,342
835,581,69.58,5,0,0,23/03/2026 - 15:43,84,200,376
818,504,61.61,0,1,0,23/03/2026 - 15:43,85,153,350
692,444,64.16,1,0,0,23/03/2026 - 16:18,86,319,124
909,553,60.84,3,3,0,23/03/2026 - 15:43,87,193,354
610,367,60.16,1,1,0,23/03/2026 - 15:43,88,104,261
474,308,64.98,2,0,0,23/03/2026 - 15:43,89,94,212
811,441,54.38,4,1,0,23/03/2026 - 16:03,90,121,315
788,464,58.88,1,0,0,23/03/2026 - 15:43,91,136,327
847,587,69.3,5,1,0,23/03/2026 - 16:11,92,163,418
724,489,67.54,1,0,0,23/03/2026 - 15:56,93,140,348
816,549,67.28,2,1,0,23/03/2026 - 15:43,94,253,293
491,309,62.93,2,0,0,23/03/2026 - 15:43,95,103,204
716,452,63.13,3,0,0,23/03/2026 - 17:01,96,156,293
735,467,63.54,2,3,0,23/03/2026 - 16:03,97,153,309
645,408,63.26,1,1,0,23/03/2026 - 16:30,98,130,276
435,269,61.84,0,1,0,23/03/2026 - 16:19,99,70,198
433,228,52.66,1,0,0,23/03/2026 - 15:43,100,79,148
697,470,67.43,0,1,0,23/03/2026 - 16:27,101,120,349
564,385,68.26,5,0,0,23/03/2026 - 15:43,102,122,258
801,546,68.16,0,0,0,23/03/2026 - 15:56,103,189,357
675,413,61.19,0,1,0,23/03/2026 - 16:18,104,114,298
735,469,63.81,0,1,0,23/03/2026 - 16:17,105,144,324
862,498,57.77,3,0,0,23/03/2026 - 15:43,106,154,341
617,405,65.64,0,1,0,23/03/2026 - 15:43,107,131,273
930,637,68.49,2,0,0,23/03/2026 - 15:56,108,163,472
676,465,68.79,1,0,0,23/03/2026 - 15:56,109,155,309
760,463,60.92,3,0,0,23/03/2026 - 15:56,110,121,339
694,366,52.74,0,1,0,23/03/2026 - 15:43,111,129,236
784,441,56.25,2,0,0,23/03/2026 - 15:56,112,132,307
747,452,60.51,0,0,0,23/03/2026 - 15:56,113,139,313
755,481,63.71,2,1,0,23/03/2026 - 16:09,114,127,351
725,436,60.14,0,1,0,23/03/2026 - 15:56,115,125,310
725,457,63.03,2,0,0,23/03/2026 - 15:43,116,142,313
424,236,55.66,1,0,0,23/03/2026 - 15:43,117,75,160
599,396,66.11,1,0,0,23/03/2026 - 16:01,118,123,272
700,450,64.29,2,0,0,23/03/2026 - 15:56,119,137,311
773,457,59.12,2,1,0,23/03/2026 - 15:57,120,165,289
658,270,41.03,2,0,0,23/03/2026 - 15:43,121,111,157
661,356,53.86,0,2,0,23/03/2026 - 16:01,122,130,224
819,472,57.63,3,4,0,23/03/2026 - 15:43,123,121,344
797,415,52.07,2,0,0,23/03/2026 - 16:05,124,161,252
595,307,51.6,2,0,0,23/03/2026 - 15:43,125,111,194
717,292,40.73,0,0,0,23/03/2026 - 15:43,126,72,220
749,365,48.73,3,0,0,23/03/2026 - 16:31,127,106,256
705,320,45.39,4,1,0,23/03/2026 - 15:43,128,121,194
652,375,57.52,1,1,0,23/03/2026 - 16:16,129,123,250
602,347,57.64,0,2,0,23/03/2026 - 15:43,130,106,239
762,450,59.06,3,1,0,23/03/2026 - 16:47,131,121,325
837,469,56.03,1,3,0,23/03/2026 - 15:57,132,157,308
576,260,45.14,0,0,0,23/03/2026 - 15:43,133,102,158
585,332,56.75,5,1,1,23/03/2026 - 16:16,134,98,227
623,349,56.02,0,0,0,23/03/2026 - 15:43,135,104,245
556,305,54.86,3,0,0,23/03/2026 - 15:43,136,92,210
772,408,52.85,0,0,0,23/03/2026 - 15:43,137,107,301
623,320,51.36,1,0,0,23/03/2026 - 15:43,138,110,209
608,374,61.51,1,0,0,23/03/2026 - 15:43,139,135,238
643,404,62.83,3,0,0,23/03/2026 - 15:43,140,114,287
693,384,55.41,2,1,0,23/03/2026 - 15:43,141,120,261
613,344,56.12,4,3,0,23/03/2026 - 15:44,142,111,226
570,299,52.46,0,0,0,23/03/2026 - 15:44,143,100,199
739,352,47.63,0,3,0,23/03/2026 - 15:44,144,114,235
675,335,49.63,0,1,0,23/03/2026 - 15:57,145,133,201
591,357,60.41,0,0,0,23/03/2026 - 15:44,146,91,266
653,390,59.72,0,0,0,23/03/2026 - 16:05,147,106,284
787,476,60.48,2,1,0,23/03/2026 - 15:44,148,143,330
83,54,65.06,0,0,0,23/03/2026 - 15:44,149,15,39
114,73,64.04,0,1,0,23/03/2026 - 15:57,150,21,51
832,450,54.09,2,0,0,23/03/2026 - 15:57,151,143,305
644,314,48.76,1,1,0,23/03/2026 - 16:46,152,85,227
755,470,62.25,1,1,0,23/03/2026 - 15:44,153,129,339
635,406,63.94,3,0,0,23/03/2026 - 16:16,155,123,280
513,313,61.01,0,0,0,23/03/2026 - 15:44,156,86,227
783,514,65.64,1,0,0,23/03/2026 - 15:44,157,215,298
454,235,51.76,0,0,0,23/03/2026 - 16:01,158,64,171
839,530,63.17,3,1,0,23/03/2026 - 16:06,159,177,349
791,427,53.98,3,0,0,23/03/2026 - 17:18,160,136,288
571,290,50.79,2,1,0,23/03/2026 - 15:44,161,86,201
546,279,51.1,1,0,0,23/03/2026 - 16:16,162,95,183
520,260,50.0,1,0,0,23/03/2026 - 16:25,163,94,165
