elettori,votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
912,492,53.95,1,0,0,23/03/2026 - 15:49,1,98,393
609,325,53.37,0,0,0,23/03/2026 - 15:37,2,74,251
828,287,34.66,1,0,0,23/03/2026 - 15:49,3,100,186
1014,486,47.93,2,1,0,23/03/2026 - 16:00,4,149,334
845,466,55.15,0,1,0,23/03/2026 - 15:49,5,124,341
794,339,42.7,0,0,0,23/03/2026 - 15:43,6,91,248
888,360,40.54,2,0,0,23/03/2026 - 16:11,7,80,278
905,341,37.68,0,0,0,23/03/2026 - 15:31,8,123,218
1120,517,46.16,5,0,0,23/03/2026 - 15:49,9,159,353
838,175,20.88,3,0,0,23/03/2026 - 15:43,10,61,111
921,397,43.11,2,1,0,23/03/2026 - 15:43,11,147,247
1034,236,22.82,1,0,0,23/03/2026 - 15:37,12,53,182
1028,530,51.56,1,0,0,23/03/2026 - 16:09,13,111,418
816,296,36.27,3,0,0,23/03/2026 - 15:49,14,76,217
957,336,35.11,3,0,0,23/03/2026 - 16:09,15,118,215
866,252,29.1,3,1,0,23/03/2026 - 15:31,16,81,167
792,438,55.3,1,1,0,23/03/2026 - 15:49,17,118,318
817,543,66.46,0,0,0,23/03/2026 - 15:43,18,153,390
658,314,47.72,0,2,0,23/03/2026 - 16:15,19,117,195
788,541,68.65,3,0,0,23/03/2026 - 16:09,20,153,385
913,613,67.14,0,0,0,23/03/2026 - 16:11,21,181,432
774,506,65.37,0,0,0,23/03/2026 - 16:00,22,175,331
842,417,49.52,0,0,0,23/03/2026 - 16:09,23,156,261
754,349,46.29,0,0,0,23/03/2026 - 15:49,24,91,258
1135,680,59.91,2,0,0,23/03/2026 - 15:31,25,270,408
824,503,61.04,0,0,0,23/03/2026 - 15:31,26,152,351
891,487,54.66,5,1,0,23/03/2026 - 16:09,27,156,325
847,344,40.61,0,0,0,23/03/2026 - 16:17,28,92,252
1067,461,43.21,0,2,3,23/03/2026 - 15:59,29,103,353
872,431,49.43,0,1,0,23/03/2026 - 15:31,30,124,306
679,223,32.84,1,2,0,23/03/2026 - 15:37,31,53,167
1035,599,57.87,5,0,0,23/03/2026 - 16:15,32,179,415
888,561,63.18,3,0,0,23/03/2026 - 16:09,33,164,394
859,553,64.38,0,0,0,23/03/2026 - 15:59,34,147,406
1062,515,48.49,1,0,0,23/03/2026 - 15:59,35,192,322
903,477,52.82,1,0,0,23/03/2026 - 15:49,36,109,367
898,419,46.66,0,0,0,23/03/2026 - 15:37,37,98,321
750,444,59.2,0,1,0,23/03/2026 - 16:27,38,138,305
840,450,53.57,2,0,0,23/03/2026 - 16:15,39,98,350
761,392,51.51,0,0,0,23/03/2026 - 16:23,41,105,287
710,351,49.44,2,0,0,23/03/2026 - 16:00,43,77,272
826,521,63.08,1,1,0,23/03/2026 - 16:00,44,141,378
695,287,41.29,0,2,0,23/03/2026 - 15:53,45,87,198
878,450,51.25,1,0,0,23/03/2026 - 15:49,46,161,288
984,396,40.24,0,2,0,23/03/2026 - 15:44,47,104,290
993,520,52.37,0,0,0,23/03/2026 - 15:31,48,141,379
864,331,38.31,4,1,0,23/03/2026 - 16:46,49,73,253
875,392,44.8,1,1,0,23/03/2026 - 15:31,50,116,274
940,392,41.7,0,0,0,23/03/2026 - 15:44,51,88,304
783,479,61.17,1,2,0,23/03/2026 - 15:53,52,149,327
759,219,28.85,8,0,0,23/03/2026 - 16:09,53,41,170
816,345,42.28,1,0,0,23/03/2026 - 15:49,54,112,232
743,267,35.94,1,0,0,23/03/2026 - 16:11,55,63,203
775,427,55.1,0,1,1,23/03/2026 - 15:37,56,131,294
1044,457,43.77,0,2,0,23/03/2026 - 16:27,57,121,334
961,435,45.27,0,0,0,23/03/2026 - 15:49,58,97,338
788,305,38.71,2,1,0,23/03/2026 - 15:49,59,118,184
775,569,73.42,0,0,0,23/03/2026 - 15:44,60,188,381
945,519,54.92,1,0,0,23/03/2026 - 16:00,61,154,364
852,562,65.96,0,0,0,23/03/2026 - 15:31,62,164,398
394,117,29.7,1,0,0,23/03/2026 - 16:11,63,38,78
811,450,55.49,3,0,0,23/03/2026 - 15:49,64,157,290
799,500,62.58,1,1,0,23/03/2026 - 15:37,65,145,353
1101,606,55.04,2,0,0,23/03/2026 - 16:23,66,217,387
390,153,39.23,0,1,0,23/03/2026 - 15:37,67,39,113
909,651,71.62,1,0,0,23/03/2026 - 15:44,68,204,446
900,314,34.89,1,0,0,23/03/2026 - 15:59,69,105,208
762,427,56.04,3,1,0,23/03/2026 - 16:00,70,137,286
942,353,37.47,1,1,0,23/03/2026 - 16:15,71,129,222
665,207,31.13,1,1,0,23/03/2026 - 15:59,72,52,153
737,252,34.19,0,0,0,23/03/2026 - 15:31,73,57,195
979,375,38.3,5,1,0,23/03/2026 - 16:09,74,124,245
744,193,25.94,0,0,0,23/03/2026 - 15:44,75,61,132
821,308,37.52,1,0,0,23/03/2026 - 16:09,76,77,230
594,368,61.95,2,1,0,23/03/2026 - 15:59,77,119,246
822,321,39.05,0,0,0,23/03/2026 - 15:49,78,97,224
954,417,43.71,2,2,0,23/03/2026 - 15:44,79,128,285
964,446,46.27,1,1,0,23/03/2026 - 16:23,80,162,282
828,497,60.02,2,2,0,23/03/2026 - 15:59,81,189,304
847,279,32.94,0,1,0,23/03/2026 - 15:59,82,75,203
1150,476,41.39,1,1,0,23/03/2026 - 16:09,83,161,313
805,383,47.58,1,2,2,23/03/2026 - 16:43,84,124,254
816,279,34.19,2,0,0,23/03/2026 - 15:49,85,72,205
997,483,48.45,3,1,0,23/03/2026 - 15:31,86,158,321
772,506,65.54,0,0,0,23/03/2026 - 16:09,87,149,357
753,479,63.61,0,0,0,23/03/2026 - 16:00,88,167,312
784,295,37.63,1,0,0,23/03/2026 - 15:44,89,88,206
846,484,57.21,0,0,0,23/03/2026 - 15:31,90,163,321
1114,612,54.94,1,1,0,23/03/2026 - 17:06,91,211,399
773,510,65.98,2,1,0,23/03/2026 - 16:00,92,150,357
644,385,59.78,2,2,0,23/03/2026 - 16:27,93,133,248
780,538,68.97,1,0,0,23/03/2026 - 15:49,94,153,384
688,199,28.92,1,0,0,23/03/2026 - 15:44,95,66,132
765,513,67.06,0,0,0,23/03/2026 - 16:09,96,135,378
918,629,68.52,2,0,0,23/03/2026 - 16:23,97,183,444
653,219,33.54,0,1,0,23/03/2026 - 15:31,98,60,158
953,537,56.35,0,1,0,23/03/2026 - 16:15,100,188,348
959,412,42.96,0,1,0,23/03/2026 - 15:59,101,130,281
795,439,55.22,1,0,0,23/03/2026 - 16:09,102,112,326
1053,410,38.94,0,0,0,23/03/2026 - 15:49,103,127,283
819,444,54.21,2,0,0,23/03/2026 - 15:31,104,64,378
906,379,41.83,3,0,0,23/03/2026 - 15:59,105,120,256
868,518,59.68,2,0,0,23/03/2026 - 15:59,106,122,394
930,426,45.81,1,1,0,23/03/2026 - 16:09,107,155,269
989,452,45.7,5,1,0,23/03/2026 - 16:00,108,155,291
681,441,64.76,0,0,0,23/03/2026 - 15:53,109,148,293
813,373,45.88,0,2,0,23/03/2026 - 16:23,110,98,273
736,222,30.16,0,0,0,23/03/2026 - 15:44,111,68,154
921,346,37.57,3,0,0,23/03/2026 - 16:00,112,121,222
1012,476,47.04,3,0,0,23/03/2026 - 15:59,113,179,294
