elettori,votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
347.0,226.0,65.13,0.0,0.0,0.0,23/03/2026 - 16:02,1,144,82
409.0,250.0,61.12,1.0,0.0,0.0,23/03/2026 - 15:50,2,149,100
874.0,433.0,49.54,0.0,0.0,0.0,23/03/2026 - 17:24,3,251,182
665.0,422.0,63.46,1.0,0.0,0.0,23/03/2026 - 15:50,4,270,151
690.0,347.0,50.29,4.0,0.0,0.0,23/03/2026 - 16:00,5,175,168
713.0,440.0,61.71,0.0,0.0,0.0,23/03/2026 - 16:21,6,234,206
637.0,354.0,55.57,1.0,0.0,0.0,23/03/2026 - 16:21,7,177,176
726.0,380.0,52.34,1.0,0.0,0.0,23/03/2026 - 16:37,8,194,185
687.0,379.0,55.17,1.0,0.0,0.0,23/03/2026 - 17:00,9,175,203
661.0,341.0,51.59,0.0,0.0,0.0,23/03/2026 - 17:57,10,181,160
644.0,310.0,48.14,1.0,0.0,0.0,23/03/2026 - 16:00,11,161,148
689.0,435.0,63.13,1.0,0.0,0.0,23/03/2026 - 15:50,12,239,195
1014.0,633.0,62.43,1.0,3.0,0.0,23/03/2026 - 16:03,13,327,302
601.0,315.0,52.41,0.0,0.0,0.0,23/03/2026 - 16:00,14,132,183
800.0,463.0,57.88,2.0,0.0,0.0,23/03/2026 - 16:12,15,186,275
786.0,369.0,46.95,4.0,2.0,0.0,23/03/2026 - 16:03,16,166,197
804.0,490.0,60.95,2.0,2.0,0.0,23/03/2026 - 16:12,17,215,271
694.0,385.0,55.48,1.0,0.0,0.0,23/03/2026 - 16:54,18,205,179
828.0,434.0,52.42,0.0,1.0,0.0,23/03/2026 - 15:56,19,225,208
20.0,20.0,100.0,0.0,0.0,0.0,23/03/2026 - 16:03,21,10,10
542.0,310.0,57.2,1.0,0.0,0.0,23/03/2026 - 16:33,22,125,184
490.0,294.0,60.0,0.0,1.0,0.0,23/03/2026 - 16:32,23,158,135
686.0,424.0,61.81,4.0,0.0,0.0,23/03/2026 - 16:31,24,217,203
485.0,303.0,62.47,1.0,1.0,0.0,23/03/2026 - 15:40,25,152,149
507.0,355.0,70.02,1.0,0.0,0.0,23/03/2026 - 17:26,26,190,164
778.0,456.0,58.61,3.0,0.0,0.0,23/03/2026 - 15:57,28,242,211
524.0,284.0,54.2,5.0,0.0,0.0,23/03/2026 - 15:34,29,170,109
530.0,281.0,53.02,2.0,0.0,0.0,23/03/2026 - 15:53,30,117,162
733.0,392.0,53.48,1.0,0.0,0.0,23/03/2026 - 15:50,31,205,186
605.0,288.0,47.6,0.0,0.0,0.0,23/03/2026 - 15:43,32,130,158
691.0,363.0,52.53,1.0,0.0,0.0,23/03/2026 - 16:15,33,178,184
694.0,455.0,65.56,2.0,0.0,0.0,23/03/2026 - 16:17,34,221,232
761.0,434.0,57.03,0.0,3.0,0.0,23/03/2026 - 16:29,35,250,181
802.0,465.0,57.98,0.0,0.0,0.0,23/03/2026 - 16:21,37,232,233
753.0,352.0,46.75,0.0,1.0,0.0,23/03/2026 - 15:51,38,173,178
793.0,469.0,59.14,2.0,2.0,0.0,23/03/2026 - 16:42,39,219,246
740.0,547.0,73.92,0.0,1.0,0.0,23/03/2026 - 16:04,40,305,241
599.0,328.0,54.76,1.0,1.0,0.0,23/03/2026 - 15:45,41,154,172
759.0,383.0,50.46,2.0,0.0,0.0,23/03/2026 - 16:27,42,189,192
569.0,310.0,54.48,0.0,0.0,0.0,23/03/2026 - 15:50,43,125,185
711.0,422.0,59.35,1.0,0.0,0.0,23/03/2026 - 16:59,44,192,229
769.0,346.0,44.99,3.0,0.0,0.0,23/03/2026 - 16:42,45,167,176
505.0,282.0,55.84,2.0,0.0,0.0,23/03/2026 - 16:01,46,132,148
670.0,370.0,55.22,2.0,0.0,0.0,23/03/2026 - 16:43,47,158,210
825.0,425.0,51.52,2.0,1.0,0.0,23/03/2026 - 16:43,48,206,216
565.0,306.0,54.16,2.0,0.0,0.0,23/03/2026 - 16:19,49,119,185
634.0,346.0,54.57,0.0,0.0,0.0,23/03/2026 - 16:03,50,189,157
603.0,331.0,54.89,0.0,2.0,0.0,23/03/2026 - 16:04,51,148,181
897.0,482.0,53.73,1.0,1.0,0.0,23/03/2026 - 15:31,52,236,244
843.0,539.0,63.94,2.0,1.0,0.0,23/03/2026 - 15:59,53,297,239
659.0,319.0,48.41,2.0,0.0,0.0,23/03/2026 - 15:50,54,160,157
929.0,505.0,54.36,0.0,2.0,0.0,23/03/2026 - 16:49,55,205,298
853.0,493.0,57.8,1.0,0.0,0.0,23/03/2026 - 16:28,56,244,248
979.0,525.0,53.63,5.0,1.0,0.0,23/03/2026 - 16:26,57,227,292
733.0,388.0,52.93,1.0,0.0,0.0,23/03/2026 - 16:17,58,178,209
634.0,366.0,57.73,1.0,0.0,0.0,23/03/2026 - 15:50,59,180,185
751.0,395.0,52.6,0.0,1.0,0.0,23/03/2026 - 16:53,60,238,156
662.0,388.0,58.61,2.0,1.0,0.0,23/03/2026 - 15:50,61,206,179
888.0,475.0,53.49,1.0,0.0,0.0,23/03/2026 - 15:55,62,237,237
464.0,212.0,45.69,0.0,0.0,0.0,23/03/2026 - 17:14,63,114,98
423.0,158.0,37.35,1.0,0.0,0.0,23/03/2026 - 15:55,64,62,95
533.0,280.0,52.53,1.0,0.0,0.0,23/03/2026 - 17:11,65,151,128
632.0,319.0,50.47,2.0,0.0,0.0,23/03/2026 - 16:02,66,163,154
876.0,498.0,56.85,1.0,0.0,0.0,23/03/2026 - 16:06,67,275,222
686.0,384.0,55.98,0.0,2.0,0.0,23/03/2026 - 16:06,68,183,199
676.0,338.0,50.0,1.0,0.0,0.0,23/03/2026 - 16:07,69,205,132
799.0,386.0,48.31,3.0,1.0,0.0,23/03/2026 - 16:38,70,211,171
887.0,527.0,59.41,2.0,0.0,0.0,23/03/2026 - 16:03,71,282,243
813.0,425.0,52.28,2.0,0.0,0.0,23/03/2026 - 16:04,73,231,192
877.0,425.0,48.46,0.0,0.0,0.0,23/03/2026 - 16:25,74,227,198
782.0,413.0,52.81,4.0,3.0,0.0,23/03/2026 - 16:19,75,207,199
698.0,393.0,56.3,0.0,1.0,0.0,23/03/2026 - 16:11,76,192,200
579.0,298.0,51.47,1.0,2.0,0.0,23/03/2026 - 15:50,77,164,131
717.0,348.0,48.54,1.0,0.0,0.0,23/03/2026 - 16:01,78,183,164
872.0,479.0,54.93,4.0,0.0,0.0,23/03/2026 - 16:03,79,246,229
856.0,462.0,53.97,5.0,2.0,0.0,23/03/2026 - 16:05,80,220,235
930.0,531.0,57.1,4.0,0.0,0.0,23/03/2026 - 16:10,81,290,237
568.0,262.0,46.13,1.0,0.0,0.0,23/03/2026 - 15:47,82,123,138
528.0,283.0,53.6,2.0,1.0,0.0,23/03/2026 - 15:53,83,125,155
649.0,375.0,57.78,1.0,1.0,0.0,23/03/2026 - 15:50,84,197,176
479.0,169.0,35.28,2.0,0.0,0.0,23/03/2026 - 16:26,86,109,58
624.0,329.0,52.72,1.0,0.0,0.0,23/03/2026 - 16:07,87,172,156
164.0,80.0,48.78,0.0,0.0,0.0,23/03/2026 - 15:21,89,57,23
349.0,127.0,36.39,0.0,0.0,0.0,23/03/2026 - 16:51,90,85,42
191.0,94.0,49.21,0.0,0.0,0.0,23/03/2026 - 16:22,91,43,51
129.0,62.0,48.06,0.0,0.0,0.0,23/03/2026 - 16:57,92,36,26
548.0,247.0,45.07,0.0,0.0,0.0,23/03/2026 - 16:56,93,123,124
990.0,532.0,53.74,3.0,0.0,0.0,23/03/2026 - 16:49,94,285,244
67.0,34.0,50.75,0.0,1.0,0.0,23/03/2026 - 15:21,95,12,21
376.0,219.0,58.24,1.0,0.0,0.0,23/03/2026 - 16:37,96,77,141
238.0,127.0,53.36,1.0,0.0,0.0,23/03/2026 - 16:44,97,71,55
721.0,391.0,54.23,1.0,1.0,0.0,23/03/2026 - 16:09,98,196,193
696.0,392.0,56.32,1.0,0.0,0.0,23/03/2026 - 15:50,99,153,238
960.0,519.0,54.06,2.0,2.0,0.0,23/03/2026 - 17:03,100,294,221
820.0,442.0,53.9,1.0,0.0,0.0,23/03/2026 - 17:04,101,212,229
736.0,356.0,48.37,1.0,0.0,0.0,23/03/2026 - 15:53,102,187,168
823.0,382.0,46.42,5.0,1.0,0.0,23/03/2026 - 16:21,103,224,152
787.0,383.0,48.67,1.0,3.0,0.0,23/03/2026 - 17:00,104,209,170
518.0,264.0,50.97,0.0,0.0,0.0,23/03/2026 - 16:48,105,127,137
409.0,195.0,47.68,1.0,0.0,0.0,23/03/2026 - 16:50,106,120,74
372.0,183.0,49.19,4.0,1.0,0.0,23/03/2026 - 15:36,107,127,51
977.0,541.0,55.37,4.0,2.0,0.0,23/03/2026 - 16:38,108,281,254
870.0,479.0,55.06,2.0,1.0,0.0,23/03/2026 - 16:07,109,275,201
736.0,407.0,55.3,0.0,1.0,0.0,23/03/2026 - 15:55,110,241,165
672.0,300.0,44.64,0.0,4.0,0.0,23/03/2026 - 16:08,111,154,142
563.0,300.0,53.29,1.0,2.0,0.0,23/03/2026 - 16:12,112,153,144
497.0,269.0,54.12,4.0,1.0,0.0,23/03/2026 - 15:41,113,146,118
689.0,314.0,45.57,3.0,3.0,0.0,23/03/2026 - 16:19,114,167,141
915.0,459.0,50.16,2.0,2.0,0.0,23/03/2026 - 16:21,115,252,203
