votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
492,53.95,1,0,0,ultimo,1,98,393
325,53.37,0,0,0,ultimo,2,74,251
287,34.66,1,0,0,ultimo,3,100,186
486,47.93,2,1,0,ultimo,4,149,334
466,55.15,0,1,0,ultimo,5,124,341
339,42.7,0,0,0,ultimo,6,91,248
360,40.54,2,0,0,ultimo,7,80,278
341,37.68,0,0,0,ultimo,8,123,218
517,46.16,5,0,0,ultimo,9,159,353
175,20.88,3,0,0,ultimo,10,61,111
397,43.11,2,1,0,ultimo,11,147,247
236,22.82,1,0,0,ultimo,12,53,182
530,51.56,1,0,0,ultimo,13,111,418
296,36.27,3,0,0,ultimo,14,76,217
336,35.11,3,0,0,ultimo,15,118,215
252,29.1,3,1,0,ultimo,16,81,167
438,55.3,1,1,0,ultimo,17,118,318
543,66.46,0,0,0,ultimo,18,153,390
314,47.72,0,2,0,ultimo,19,117,195
541,68.65,3,0,0,ultimo,20,153,385
613,67.14,0,0,0,ultimo,21,181,432
506,65.37,0,0,0,ultimo,22,175,331
417,49.52,0,0,0,ultimo,23,156,261
349,46.29,0,0,0,ultimo,24,91,258
680,59.91,2,0,0,ultimo,25,270,408
503,61.04,0,0,0,ultimo,26,152,351
487,54.66,5,1,0,ultimo,27,156,325
344,40.61,0,0,0,ultimo,28,92,252
461,43.21,0,2,3,ultimo,29,103,353
431,49.43,0,1,0,ultimo,30,124,306
223,32.84,1,2,0,ultimo,31,53,167
599,57.87,5,0,0,ultimo,32,179,415
561,63.18,3,0,0,ultimo,33,164,394
553,64.38,0,0,0,ultimo,34,147,406
477,52.82,1,0,0,ultimo,36,109,367
515,48.49,1,0,0,ultimo,35,192,322
419,46.66,0,0,0,ultimo,37,98,321
444,59.2,0,1,0,ultimo,38,138,305
450,53.57,2,0,0,ultimo,39,98,350
468,45.39,2,2,0,ultimo,40,135,329
392,51.51,0,0,0,ultimo,41,105,287
422,60.37,1,0,0,ultimo,42,157,264
351,49.44,2,0,0,ultimo,43,77,272
521,63.08,1,1,0,ultimo,44,141,378
287,41.29,0,2,0,ultimo,45,87,198
450,51.25,1,0,0,ultimo,46,161,288
396,40.24,0,2,0,ultimo,47,104,290
520,52.37,0,0,0,ultimo,48,141,379
331,38.31,4,1,0,ultimo,49,73,253
392,44.8,1,1,0,ultimo,50,116,274
392,41.7,0,0,0,ultimo,51,88,304
479,61.17,1,2,0,ultimo,52,149,327
219,28.85,8,0,0,ultimo,53,41,170
345,42.28,1,0,0,ultimo,54,112,232
427,55.1,0,1,1,ultimo,56,131,294
435,45.27,0,0,0,ultimo,58,97,338
267,35.94,1,0,0,ultimo,55,63,203
457,43.77,0,2,0,ultimo,57,121,334
305,38.71,2,1,0,ultimo,59,118,184
569,73.42,0,0,0,ultimo,60,188,381
