votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
226,65.13,0,0,0,ultimo,1,144,82
250,61.12,1,0,0,ultimo,2,149,100
433,49.54,0,0,0,ultimo,3,251,182
422,63.46,1,0,0,ultimo,4,270,151
347,50.29,4,0,0,ultimo,5,175,168
440,61.71,0,0,0,ultimo,6,234,206
354,55.57,1,0,0,ultimo,7,177,176
380,52.34,1,0,0,ultimo,8,194,185
379,55.17,1,0,0,ultimo,9,175,203
341,51.59,0,0,0,ultimo,10,181,160
310,48.14,1,0,0,ultimo,11,161,148
435,63.13,1,0,0,ultimo,12,239,195
633,62.43,1,3,0,ultimo,13,327,302
315,52.41,0,0,0,ultimo,14,132,183
463,57.88,2,0,0,ultimo,15,186,275
369,46.95,4,2,0,ultimo,16,166,197
490,60.95,2,2,0,ultimo,17,215,271
385,55.48,1,0,0,ultimo,18,205,179
434,52.42,0,1,0,ultimo,19,225,208
41,100.0,0,0,0,ultimo,20,19,22
20,100.0,0,0,0,ultimo,21,10,10
310,57.2,1,0,0,ultimo,22,125,184
294,60.0,0,1,0,ultimo,23,158,135
424,61.81,4,0,0,ultimo,24,217,203
303,62.47,1,1,0,ultimo,25,152,149
355,70.02,1,0,0,ultimo,26,190,164
408,59.65,1,0,0,ultimo,27,200,207
456,58.61,3,0,0,ultimo,28,242,211
284,54.2,5,0,0,ultimo,29,170,109
281,53.02,2,0,0,ultimo,30,117,162
392,53.48,1,0,0,ultimo,31,205,186
288,47.6,0,0,0,ultimo,32,130,158
363,52.53,1,0,0,ultimo,33,178,184
455,65.56,2,0,0,ultimo,34,221,232
434,57.03,0,3,0,ultimo,35,250,181
464,62.03,3,1,0,ultimo,36,273,187
465,57.98,0,0,0,ultimo,37,232,233
352,46.75,0,1,0,ultimo,38,173,178
469,59.14,2,2,0,ultimo,39,219,246
547,73.92,0,1,0,ultimo,40,305,241
328,54.76,1,1,0,ultimo,41,154,172
383,50.46,2,0,0,ultimo,42,189,192
310,54.48,0,0,0,ultimo,43,125,185
422,59.35,1,0,0,ultimo,44,192,229
346,44.99,3,0,0,ultimo,45,167,176
282,55.84,2,0,0,ultimo,46,132,148
370,55.22,2,0,0,ultimo,47,158,210
425,51.52,2,1,0,ultimo,48,206,216
306,54.16,2,0,0,ultimo,49,119,185
346,54.57,0,0,0,ultimo,50,189,157
331,54.89,0,2,0,ultimo,51,148,181
482,53.73,1,1,0,ultimo,52,236,244
539,63.94,2,1,0,ultimo,53,297,239
319,48.41,2,0,0,ultimo,54,160,157
505,54.36,0,2,0,ultimo,55,205,298
