votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
355,51.23,0,2,0,ultimo,1,198,155
374,45.22,0,0,0,ultimo,2,142,232
328,44.57,4,2,0,ultimo,3,133,189
410,52.16,2,0,0,ultimo,4,158,250
450,48.18,0,0,0,ultimo,5,172,278
347,41.21,4,0,0,ultimo,6,126,217
378,49.35,1,1,0,ultimo,7,168,208
520,48.96,0,0,0,ultimo,8,190,330
506,53.1,1,1,0,ultimo,9,216,288
559,51.81,2,1,0,ultimo,10,222,334
513,50.79,3,2,0,ultimo,11,236,272
464,48.23,0,2,0,ultimo,12,208,254
649,53.2,1,0,0,ultimo,13,247,401
517,54.14,0,1,0,ultimo,14,227,289
409,56.73,2,1,0,ultimo,15,136,270
281,32.49,1,0,0,ultimo,16,90,190
498,46.33,1,2,0,ultimo,17,197,298
341,41.43,0,0,0,ultimo,18,149,192
490,52.74,4,0,0,ultimo,19,203,283
588,52.97,1,0,0,ultimo,20,232,355
441,54.11,1,1,0,ultimo,21,179,260
378,51.57,3,0,0,ultimo,22,152,223
616,56.41,4,0,0,ultimo,23,244,368
638,53.52,0,0,0,ultimo,24,276,362
672,56.9,2,0,0,ultimo,25,313,357
570,50.71,2,0,0,ultimo,26,230,338
682,54.43,2,1,0,ultimo,27,269,410
640,55.46,1,0,0,ultimo,28,269,370
620,61.88,3,2,0,ultimo,29,304,311
568,59.92,0,0,0,ultimo,30,296,272
610,64.76,2,2,0,ultimo,31,308,298
565,66.31,0,0,0,ultimo,32,276,289
637,59.64,1,1,0,ultimo,33,301,334
528,57.45,0,1,0,ultimo,34,214,313
700,54.43,0,0,0,ultimo,35,323,377
617,56.71,1,0,0,ultimo,36,196,420
524,54.98,1,0,0,ultimo,37,194,329
451,66.03,1,3,0,ultimo,38,161,286
408,64.76,3,0,0,ultimo,39,147,258
347,53.22,1,1,0,ultimo,40,132,213
450,62.41,1,2,0,ultimo,41,159,288
343,62.48,0,0,0,ultimo,42,118,225
335,45.7,4,0,0,ultimo,43,123,208
427,58.17,2,0,0,ultimo,44,157,268
321,55.34,0,0,0,ultimo,45,117,204
