elettori,votanti,affluenza,schede_nulle,schede_bianche,schede_contestate,aggiornamento,sezione,si,no
911.0,669.0,73.44,0.0,0.0,0.0,23/03/2026 - 17:59,1,167,502
,,,,,,,2,167,502
739.0,535.0,72.4,0.0,1.0,0.0,23/03/2026 - 16:12,3,177,357
1007.0,747.0,74.18,2.0,1.0,0.0,23/03/2026 - 16:50,4,300,444
793.0,486.0,61.29,1.0,1.0,0.0,23/03/2026 - 15:36,5,144,340
707.0,508.0,71.85,3.0,2.0,0.0,23/03/2026 - 15:51,6,215,288
821.0,623.0,75.88,1.0,1.0,0.0,23/03/2026 - 17:31,7,215,288
80.0,65.0,81.25,1.0,0.0,0.0,23/03/2026 - 16:28,8,22,42
927.0,690.0,74.43,1.0,2.0,0.0,23/03/2026 - 16:24,9,346,341
812.0,580.0,71.43,1.0,1.0,0.0,23/03/2026 - 16:07,10,208,370
711.0,520.0,73.14,0.0,0.0,0.0,23/03/2026 - 16:01,11,183,337
861.0,493.0,57.26,3.0,0.0,0.0,23/03/2026 - 16:05,12,226,264
712.0,491.0,68.96,1.0,2.0,0.0,23/03/2026 - 15:38,13,226,264
827.0,598.0,72.31,2.0,0.0,0.0,23/03/2026 - 15:45,14,279,317
680.0,487.0,71.62,2.0,0.0,0.0,23/03/2026 - 16:16,15,203,282
716.0,499.0,69.69,1.0,0.0,0.0,23/03/2026 - 15:56,16,216,282
638.0,453.0,71.0,0.0,3.0,0.0,23/03/2026 - 15:47,17,98,352
835.0,639.0,76.53,2.0,1.0,0.0,23/03/2026 - 15:45,18,210,426
600.0,395.0,65.83,1.0,4.0,0.0,23/03/2026 - 15:38,19,130,260
855.0,651.0,76.14,3.0,1.0,0.0,23/03/2026 - 16:45,20,178,469
503.0,330.0,65.61,0.0,0.0,0.0,23/03/2026 - 16:57,21,99,231
818.0,636.0,77.75,1.0,1.0,0.0,23/03/2026 - 17:02,22,249,385
747.0,557.0,74.56,0.0,1.0,0.0,23/03/2026 - 16:27,23,204,352
839.0,664.0,79.14,2.0,0.0,0.0,23/03/2026 - 16:29,24,248,414
841.0,582.0,69.2,3.0,0.0,0.0,23/03/2026 - 16:12,25,167,412
633.0,412.0,65.09,1.0,0.0,0.0,23/03/2026 - 16:01,26,133,278
639.0,457.0,71.52,1.0,2.0,0.0,23/03/2026 - 16:28,27,147,307
721.0,505.0,70.04,2.0,0.0,0.0,23/03/2026 - 15:41,28,128,375
716.0,513.0,71.65,0.0,2.0,0.0,23/03/2026 - 15:38,29,174,337
731.0,534.0,73.05,3.0,2.0,0.0,23/03/2026 - 16:23,30,218,311
757.0,570.0,75.3,1.0,0.0,0.0,23/03/2026 - 16:24,32,173,396
695.0,493.0,70.94,0.0,0.0,0.0,23/03/2026 - 15:48,33,126,367
769.0,558.0,72.56,0.0,2.0,0.0,23/03/2026 - 16:42,34,187,369
558.0,400.0,71.68,1.0,1.0,0.0,23/03/2026 - 16:19,35,198,200
850.0,658.0,77.41,2.0,1.0,0.0,23/03/2026 - 18:12,36,276,379
790.0,611.0,77.34,4.0,1.0,0.0,23/03/2026 - 15:41,37,252,354
616.0,510.0,82.79,1.0,1.0,0.0,23/03/2026 - 15:55,38,236,272
749.0,568.0,75.83,2.0,0.0,0.0,23/03/2026 - 17:01,39,267,299
629.0,480.0,76.31,2.0,0.0,0.0,23/03/2026 - 17:21,40,201,277
635.0,425.0,66.93,1.0,0.0,0.0,23/03/2026 - 17:09,41,116,308
679.0,501.0,73.78,3.0,0.0,0.0,23/03/2026 - 15:46,42,195,303
685.0,515.0,75.18,4.0,2.0,0.0,23/03/2026 - 16:00,43,159,350
945.0,601.0,63.6,0.0,2.0,0.0,23/03/2026 - 16:58,44,188,411
620.0,447.0,72.1,3.0,2.0,0.0,23/03/2026 - 15:51,45,142,300
